,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
OIVD3m_Neuron,373.9619047619054,0.0023606097857991203,0.07772511848341232,0.27148739063304167,0.003251666185521382
ORNTArm_Neuron,352.6214285714294,0.0009784265592520742,0.03886255924170616,0.26817488561260805,0.0031172562170239224
ORNt3m_Neuron,475.8404761904724,0.006170140061282268,0.17251184834123223,0.33857509627727855,0.0033335924976317407
ORNt4m_Neuron,476.3404761904724,0.0061704288911553174,0.17345971563981044,0.33868378812199035,0.0033337139538484363
ORNtiDF_Neuron,342.04761904762137,9.276576092198753e-05,0.002843601895734597,0.29743445164928106,0.0014688969432712993
P45011A1m_Neuron,431.7499999999962,0.005877416381108673,0.15829383886255924,0.2884089666484418,0.0033238291242971263
P5CDm_Neuron,440.25714285713906,0.006080546950670724,0.17345971563981044,0.28999450247388675,0.003330508178904631
PCFLOPm_Neuron,418.9702380952347,0.0019077191018973666,0.08530805687203792,0.31882744031429433,0.003268408107630369
PDHm_Neuron,376.128571428572,0.0024494407244076218,0.08151658767772513,0.2718371553723267,0.003257913487343801
PEFLIP_Neuron,457.09285714284954,0.0020567495263346443,0.08530805687203792,0.36798046738751305,0.003269889415781994
PEFLIPm_Neuron,418.9702380952347,0.001945446878228024,0.08530805687203792,0.31882744031429433,0.0032696177011422947
PETOHMm_hs_Neuron,414.80952380952004,0.005348165736313521,0.12890995260663507,0.28475033738191635,0.0033088609405165013
PFK_Neuron,410.3869047619023,0.0017982241784394286,0.07393364928909953,0.31596286313267447,0.0032485056599886723
PGI_Neuron,285.065873015872,3.7232133556481215e-05,0.004739336492890996,0.2408675799086758,0.0018965839822218467
PGK_Neuron,339.3535714285738,0.00021718116345256888,0.02085308056872038,0.2846735024284943,0.002907510729001462
PGL_Neuron,410.9702380952356,0.001821333640030502,0.07393364928909953,0.31634182908545727,0.003250368314898793
PGM_Neuron,286.71587301587215,1.8970731437213816e-05,0.0037914691943127963,0.24191699151570742,0.001765719292431031
PHCDm_Neuron,432.5333333333295,0.0059912916168004164,0.16113744075829384,0.2880939377389405,0.00332564050041058
PHCHGSm_Neuron,427.0333333333295,0.005836647332635137,0.15071090047393365,0.2872311462020147,0.003320934201136716
