,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
CYSGLUexR,334.82142857143043,0.0007710332340140326,0.014258555133079848,0.28494041170097506,0.0026610012225371854
CYSGLYex,328.85238095238213,0.0005946517944201497,0.013307984790874524,0.28173540439207284,0.0026128033265421604
CYSGLYexR,328.85238095238213,0.0005946517944201497,0.013307984790874524,0.28173540439207284,0.00261280332654217
CYSO,437.652380952377,0.02645066003546456,0.09980988593155893,0.33343898573692554,0.003314297723590881
CYSTAm,361.76190476190544,0.011163197006277908,0.03517110266159696,0.27963849016480596,0.003114721320051522
CYStec,318.60476190476237,0.00020572077114939792,0.0076045627376425855,0.2762605042016807,0.0022230471099114082
CYTK1m,365.26190476190516,0.015076550228853949,0.04467680608365019,0.27963849016480596,0.003176779881461268
D-LACt2,463.0166666666592,0.026347496832032885,0.09125475285171103,0.3747773423583897,0.003304121005820223
D-LACtm,499.93571428571073,0.08639476204935698,0.19486692015209126,0.3564893256523212,0.0033696150530667978
DDPGAm,341.74523809523885,0.0031804563044654094,0.009505703422053232,0.27374447046578193,0.002501457155119348
DECDPtm,229.09285714285312,4.121889478769733e-05,0.0019011406844106464,0.19183078045222465,0.000705893209944512
DGNSKm,439.4119047619002,0.07645389815232634,0.1520912547528517,0.30031401655723666,0.003350349215949882
DGSNt,234.4880952380897,3.6089473188863897e-06,0.0019011406844106464,0.2081931525826242,0.0006093811824648671
DGSNtm,294.89523809523934,0.0005235012010205955,0.0028517110266159697,0.24245217792117998,0.0008952268969797785
DHDPBMTm,424.5619047619001,0.07325584352290722,0.12737642585551331,0.29675599435825106,0.0033361736076659284
DHFtm,292.4269841269865,0.0005449334185313714,0.0019011406844106464,0.23284639220894202,0.000742592254711248
DMGDHm,397.19523809523525,0.03921951637836974,0.08935361216730038,0.28774617067833697,0.0032947019898200516
DMGtm,271.6841269841244,0.0002685340560859723,0.0019011406844106464,0.22359192348565357,0.0007393619196716511
DPGM,431.06904761904354,0.02636481958734948,0.0903041825095057,0.33123425692695213,0.0033034899899290764
DPGase,388.21904761904705,0.00678232587389391,0.043726235741444866,0.3135618479880775,0.003174157046900357
DPHMBDCm,431.2785714285667,0.07603741507194405,0.13878326996197718,0.2986091399375532,0.0033433524582480987
DURIK1m,438.9452380952335,0.07677340544945255,0.1520912547528517,0.2999714856002281,0.003350230471064575
DUTPDPm,443.87857142856683,0.0811048726691732,0.15684410646387834,0.3022988505747126,0.003352561432072824
ECOAH12m,389.27857142856936,0.03805226680318864,0.07699619771863118,0.28602501359434473,0.0032784116101361852
ECOAH1m,390.2785714285693,0.03908826494057591,0.07889733840304182,0.28618063112078346,0.0032818251858597086
ECOAH9m,389.7785714285693,0.038566095164100915,0.0779467680608365,0.2861028011966277,0.003280141267459513
EHGLAT2m,344.3785714285722,0.0038466447698799117,0.010456273764258554,0.27524856096284667,0.0025602069964220453
EHGLATm,363.7619047619053,0.012333221328534594,0.03897338403041825,0.27993613624268227,0.0031417824826989746
ENO,367.4190476190497,0.005175821834807693,0.034220532319391636,0.30160550458715596,0.003108486639911255
ETF,303.89841269841787,0.0014529692043284124,0.011406844106463879,0.23704371338440738,0.0025657711910902254
ETFQO,323.3714285714296,0.001720883290707807,0.004752851711026616,0.26532156368221943,0.0019289306394712816
ETOHMO,443.0690476190438,0.02709235998639802,0.10741444866920152,0.3352453792224347,0.00332185245427441
ETOHt,298.39047619047557,0.0005497814159906786,0.004752851711026616,0.2518553986114436,0.0017501250650501818
FALDtm,271.6841269841244,0.0002685340560859723,0.0019011406844106464,0.22359192348565357,0.0007393619196716511
FBA,301.9380952380947,0.00038344760386599673,0.006653992395437262,0.2532498796340876,0.002083820063953329
FCLTm,425.0619047619001,0.07351209295333669,0.12832699619771862,0.29683972911963885,0.0033365436067150757
FE2t,350.8833333333358,0.0005961343755066147,0.0038022813688212928,0.3069740297636417,0.0012620450606838287
FE2tm,501.2690476190441,0.08640286632897894,0.1967680608365019,0.35697319307770614,0.003370140790939772
FORt2m,265.7031746031707,0.00014405755013093788,0.0019011406844106464,0.2211013030685162,0.0007372058741725667
FPGS2m,453.4119047619003,0.07959515003287948,0.1758555133079848,0.30343236227285836,0.0033601278936175407
FPGS4m,452.7452380952336,0.079587719546775,0.17490494296577946,0.3032574228884405,0.0033598308726780265
FPGS5m,452.7452380952336,0.0795914256505713,0.17490494296577946,0.3032574228884405,0.0033598834358230818
FPGS6m,453.4119047619003,0.07959513158181261,0.1758555133079848,0.30343236227285836,0.003360127536079269
FPGS7m,453.2452380952336,0.07960373135893113,0.1758555133079848,0.3033448673587082,0.0033601745086472997
FPGS8m,453.4119047619003,0.07959883843119907,0.1758555133079848,0.30343236227285836,0.003360179253062166
FPGS9m,453.4119047619003,0.0795951319269814,0.1758555133079848,0.30343236227285836,0.0033601278683660046
FPGSm,455.9619047619003,0.07998767732327289,0.1796577946768061,0.3042220936957779,0.0033615674478414794
FTHFLm,381.3952380952369,0.02103966488085843,0.06653992395437262,0.28363440280399027,0.0032523161348712425
FUMSO3tm,335.954761904763,0.0016627650212602575,0.008555133079847909,0.27106415872197887,0.002400770175945216
FUMSO4tm,326.7380952380965,0.000610332091486149,0.008555133079847909,0.2661269921578548,0.002327132028131294
FUMTSULtm,318.27142857142906,0.0009239577862636931,0.006653992395437262,0.26110697443534375,0.0022022199947235406
FUMm,398.04523809523516,0.03890271401627029,0.08745247148288973,0.2892493813582623,0.003294425715480927
FUMtm,404.519047619045,0.015969552370414697,0.05418250950570342,0.32210655235762403,0.003221263114382418
G3PD2m,305.64841269841827,0.00144525401278826,0.012357414448669201,0.2376863985539991,0.0026071310885425227
G5SDym,432.6452380952334,0.07606608741854239,0.14258555133079848,0.2981859410430839,0.0033455982541034704
G6PDH2r,431.4023809523769,0.02630539430166396,0.0903041825095057,0.3314429741650914,0.0033033145946404206
