,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
EX_asn-L(e),260.82261904761634,8.225008437817678e-06,0.0009478672985781991,0.23444444444444446,0.0007052094906356555
EX_bhb(e),310.43809523809546,0.00017652210348869293,0.0009478672985781991,0.27260981912144705,0.0007360174193731084
EX_btn(e),310.93809523809546,0.0003530604366737763,0.0018957345971563982,0.27268027914189713,0.0012103989061740131
EX_co2(e),233.23888888888385,2.961963606990231e-06,0.0009478672985781991,0.20533281432463993,0.0006350954841976229
EX_crn(e),171.27222222222184,1.1423903677434641e-08,0.0009478672985781991,0.15526122148638705,0.0004617735383273548
EX_cyan(e),189.04563492063482,2.3273398580719804e-08,0.0009478672985781991,0.17104409857328146,0.0003705322377141588
EX_cys-L(e),253.33095238094762,1.4408249998034855e-05,0.0037914691943127963,0.22384892849565033,0.0016653603471265968
EX_etoh(e),228.26388888888377,3.6600523410811662e-06,0.0009478672985781991,0.20122067518596223,0.0006141870576148728
EX_fe2(e),288.2976190476176,4.338635429498842e-06,0.0018957345971563982,0.26152702032721864,0.0008020521106942553
EX_glc(e),314.071428571429,0.00018257362759037076,0.002843601895734597,0.2747395833333333,0.0014206675013349254
EX_gln-L(e),316.7880952380956,0.0001869806791263213,0.002843601895734597,0.2755288587098459,0.001498006613923565
EX_glu-L(e),321.1547619047627,0.00036443459712050274,0.0018957345971563982,0.2788791964049696,0.0012120808207282368
EX_gly(e),315.43809523809557,0.0001878432311830268,0.0037914691943127963,0.27452511059068435,0.0017216573432444783
EX_glyc(e),190.8892857142853,2.4299742701033038e-08,0.0009478672985781991,0.17255479228001308,0.00037060968108176015
EX_h(e),368.54285714285703,0.002860488309496359,0.016113744075829384,0.31815440289505426,0.002808370667081275
EX_h2o(e),303.3833333333336,3.541957831215293e-05,0.0018957345971563982,0.26933877967832526,0.001193812326861946
EX_h2o2(e),216.61150793650398,3.4231411767141676e-07,0.0009478672985781991,0.1938625505328923,0.0005592910758166319
EX_hco3(e),229.23055555555044,1.3335967965086844e-06,0.0009478672985781991,0.20168227872299752,0.0006021258204581589
EX_ile-L(e),211.96507936507584,1.0352273590596156e-07,0.0009478672985781991,0.19108857091106685,0.0005415286623212012
EX_k(e),321.6547619047628,0.00036915067939915716,0.002843601895734597,0.27895293495505025,0.0014946220485142752
EX_lac-D(e),310.43809523809546,0.00017652210348869293,0.0009478672985781991,0.27260981912144705,0.0007360174193731076
EX_lac-L(e),310.6047619047621,0.0001766229139188105,0.0009478672985781991,0.27268027914189713,0.0007360721056284268
EX_leu-L(e),211.96507936507584,1.0352273987661604e-07,0.0009478672985781991,0.19108857091106685,0.0005415286622906412
EX_lys-L(e),247.2321428571375,1.2308869547293427e-05,0.0018957345971563982,0.21757063312023098,0.000998475877857718
EX_na1(e),348.60952380952574,0.0006120971195891968,0.008530805687203791,0.3036845135290731,0.002401965110437063
EX_nh4(e),311.20476190476217,0.00017708632761083515,0.0009478672985781991,0.2731745209735888,0.0007361393557893636
EX_o2(e),234.55039682539174,4.475393237122977e-06,0.0009478672985781991,0.20617549345319522,0.0006531492255399092
EX_o2s(e),189.9349206349204,2.6964899240663022e-08,0.0009478672985781991,0.17179612440970526,0.00041999239893190915
EX_orn(e),245.41547619047083,8.04622079907454e-06,0.0009478672985781991,0.2170335321950216,0.0005763753330890041
EX_pe_hs(e),296.87380952380886,0.00018541318182657777,0.0009478672985781991,0.25113068317067366,0.000737070891738531
EX_pi(e),312.2142857142863,4.030359607166763e-05,0.0018957345971563982,0.279026712509918,0.0011949325686446822
EX_ppa(e),181.59523809523876,8.058343734559648e-09,0.0009478672985781991,0.16456091093433162,0.00037010049195540154
