ID,Node_type
HMGCOASim,Astrocyte
HMGLm,Astrocyte
HPROxm,Astrocyte
Ht,Astrocyte
Htm,Astrocyte
ICDHxm,Astrocyte
ICDHyrm,Astrocyte
ILETA,Astrocyte
ILETAm,Astrocyte
ILEt5m,Astrocyte
ILEtec,Astrocyte
IMACTD_m,Astrocyte
ITCOAL1m,Astrocyte
ITCOALm,Astrocyte
Kt1r,Astrocyte
L-LACt2r,Astrocyte
L-LACtm,Astrocyte
LCADi_Dm,Astrocyte
LCADim,Astrocyte
LCYSTATm,Astrocyte
LDH_L,Astrocyte
LDH_Lm,Astrocyte
LEUTA,Astrocyte
LEUTAm,Astrocyte
LEUt5m,Astrocyte
LEUtec,Astrocyte
LSOProd,Astrocyte
LYStiDF,Astrocyte
LYStm,Astrocyte
MALSO3tm,Astrocyte
MALSO4tm,Astrocyte
MALTSULtm,Astrocyte
MALtm,Astrocyte
MCCCrm,Astrocyte
MDH,Astrocyte
MDHm,Astrocyte
MECOALm,Astrocyte
MECOAS1m,Astrocyte
MGCHrm,Astrocyte
MMCDm,Astrocyte
MMEm,Astrocyte
MMMm,Astrocyte
MMSAD1m,Astrocyte
MMSAD3m,Astrocyte
MTHFCm,Astrocyte
MTHFDm,Astrocyte
NABTNOm,Astrocyte
NDPK10m,Astrocyte
NDPK1m,Astrocyte
NDPK2m,Astrocyte
NDPK3m,Astrocyte
NDPK4m,Astrocyte
NDPK5m,Astrocyte
NDPK6m,Astrocyte
NDPK7m,Astrocyte
NDPK8m,Astrocyte
NDPK9m,Astrocyte
NH4t3r,Astrocyte
NMNATm,Astrocyte
NNATm,Astrocyte
NTD1m,Astrocyte
NTD2m,Astrocyte
NTD5m,Astrocyte
NaKt,Astrocyte
O2St,Astrocyte
O2Stm,Astrocyte
O2t,Astrocyte
O2tm,Astrocyte
OCOAT1m,Astrocyte
OIVD1m,Astrocyte
OIVD2m,Astrocyte
OIVD3m,Astrocyte
ORNTArm,Astrocyte
ORNt3m,Astrocyte
ORNt4m,Astrocyte
ORNtiDF,Astrocyte
P45011A1m,Astrocyte
P5CDm,Astrocyte
PCFLOPm,Astrocyte
PCm,Astrocyte
PDHm,Astrocyte
PEFLIP,Astrocyte
PEFLIPm,Astrocyte
PETOHMm_hs,Astrocyte
PGCD,Astrocyte
PGL,Astrocyte
PHCDm,Astrocyte
PHCHGSm,Astrocyte
PHEMEtm,Astrocyte
PHETA1m,Astrocyte
PIt2m,Astrocyte
PIt7,Astrocyte
PNTKm,Astrocyte
PPA2m,Astrocyte
PPAt,Astrocyte
PPAtm,Astrocyte
PPBNGS,Astrocyte
PPCOACm,Astrocyte
PPCOAOm,Astrocyte
PPPG9tm,Astrocyte
PPPGOm,Astrocyte
PRGNLONEtm,Astrocyte
PRO1xm,Astrocyte
PROD2m,Astrocyte
PROt2r,Astrocyte
PROtm,Astrocyte
PRPNCOAHYDm,Astrocyte
PSERT,Astrocyte
PSFLIP,Astrocyte
PSFLIPm,Astrocyte
PSP_L,Astrocyte
PYLALDOXm,Astrocyte
PYRt2m,Astrocyte
PYRt2r,Astrocyte
RPE,Astrocyte
RPI,Astrocyte
SACCD3m,Astrocyte
SACCD4m,Astrocyte
SARCStex,Astrocyte
SARCStm,Astrocyte
SARDHm,Astrocyte
SERGLNexR,Astrocyte
SERGLYexR,Astrocyte
SERt4,Astrocyte
SLDxm,Astrocyte
SO4HCOtex,Astrocyte
SPODMm,Astrocyte
SSALxm,Astrocyte
SUCCt2m,Astrocyte
SUCD1m,Astrocyte
SUCOAS1m,Astrocyte
SUCOASm,Astrocyte
SULFOX,Astrocyte
T2M26DCOAHLm,Astrocyte
T4HCINNMFM,Astrocyte
TALA,Astrocyte
TCYNTt,Astrocyte
TCYNTtm,Astrocyte
THD1m,Astrocyte
THFtm,Astrocyte
TKT1,Astrocyte
TKT2,Astrocyte
TMDK1m,Astrocyte
TRDRm,Astrocyte
TYRTAm,Astrocyte
UPP3S,Astrocyte
UPPDC1,Astrocyte
VALTA,Astrocyte
VALTAm,Astrocyte
VALt5m,Astrocyte
VALtec,Astrocyte
VITD2Hm,Astrocyte
VITD2tm,Astrocyte
VITD3Hm,Astrocyte
VITD3tm,Astrocyte
VITD3tm3,Astrocyte
MTDNAploym,Astrocyte
MTDNAdpolym,Astrocyte
DAKm,Astrocyte
DTKm,Astrocyte
DCKm,Astrocyte
DGKm,Astrocyte
NDPK1,Astrocyte
GGNG,Astrocyte
GLGNS1,Astrocyte
GLBRAN,Astrocyte
GLPASE1,Astrocyte
GLDBRAN,Astrocyte
GLPASE2,Astrocyte
SERtm,Astrocyte
LacLtm,Astrocyte
UREAt,Astrocyte
UREAtm,Astrocyte
GLNtN1,Astrocyte
DM_4mptnl(m),Sink/Demand Astro
DM_prgnlone(c),Sink/Demand Astro
DM_nadph(c),Sink/Demand Astro
DM_atp(m),Sink/Demand Astro
sink_chsterol,Astrocyte
DM_1a2425thvitd3,Sink/Demand Astro
DM_1a2425thvitd2,Sink/Demand Astro
sink_vitd3,Astrocyte
sink_vitd2,Astrocyte
CKc,Astrocyte
CREATtmdiffir,Astrocyte
PCREATtmdiffir,Astrocyte
ALATA_L,Astrocyte
ALATA_Lm,Astrocyte
ALAtN1,Astrocyte
DM_pchol_hs,Sink/Demand Astro
PSDm_hs,Astrocyte
25HVITD2t_Int,Astrocyte
25HVITD2tin_Int,Astrocyte
25HVITD3t_Int,Astrocyte
25HVITD3tin_Int,Astrocyte
3AIBt_Int,Astrocyte
ABUTt2r_Int,Astrocyte
ACACt2_Int,Astrocyte
ACALDt_Int,Astrocyte
ACt2r_Int,Astrocyte
ARGLYSex_Int,Astrocyte
ARGtiDF_Int,Astrocyte
ASNt4_Int,Astrocyte
BALAVECSEC_Int,Astrocyte
BHBt_Int,Astrocyte
BTNt2_Int,Astrocyte
BTNt4i_Int,Astrocyte
CO2t_Int,Astrocyte
CRNt_Int,Astrocyte
CYANt_Int,Astrocyte
CYSGLUexR_Int,Astrocyte
CYSGLYex_Int,Astrocyte
CYStec_Int,Astrocyte
D-LACt2_Int,Astrocyte
DGSNt_Int,Astrocyte
ETOHt_Int,Astrocyte
FE2t_Int,Astrocyte
GLCt2r_Int,Astrocyte
GLUt6_Int,Astrocyte
GLYCt_Int,Astrocyte
GLYt2r_Int,Astrocyte
H2O2t_Int,Astrocyte
H2Ot_Int,Astrocyte
Ht_Int,Astrocyte
ILEtec_Int,Astrocyte
Kt1r_Int,Astrocyte
L-LACt2r_Int,Astrocyte
LEUtec_Int,Astrocyte
LYStiDF_Int,Astrocyte
NH4t3r_Int,Astrocyte
NaKt_Int,Astrocyte
O2St_Int,Astrocyte
O2t_Int,Astrocyte
ORNtiDF_Int,Astrocyte
PEFLIP_Int,Astrocyte
PIt7_Int,Astrocyte
PPAt_Int,Astrocyte
PROt2r_Int,Astrocyte
PSFLIP_Int,Astrocyte
PYRt2r_Int,Astrocyte
SARCStex_Int,Astrocyte
SERGLNexR_Int,Astrocyte
SERGLYexR_Int,Astrocyte
SERt4_Int,Astrocyte
SO4HCOtex_Int,Astrocyte
TCYNTt_Int,Astrocyte
VALtec_Int,Astrocyte
UREAt_Int,Astrocyte
GLNtN1_Int,Astrocyte
ALAtN1_Int,Astrocyte
EX_NACASPt_Int,Exchange
DM_10fthf5glu_Neuron,Sink/Demand Neuron
DM_10fthf6glu_Neuron,Sink/Demand Neuron
DM_10fthf7glu_Neuron,Sink/Demand Neuron
DM_5thf_Neuron,Sink/Demand Neuron
DM_6dhf_Neuron,Sink/Demand Neuron
DM_6thf_Neuron,Sink/Demand Neuron
DM_7dhf_Neuron,Sink/Demand Neuron
DM_7thf_Neuron,Sink/Demand Neuron
DM_ahcys_Neuron,Sink/Demand Neuron
DM_atp(c)_Neuron,Sink/Demand Neuron
DM_fald_Neuron,Sink/Demand Neuron
DM_for_Neuron,Sink/Demand Neuron
DM_pheme(c)_Neuron,Sink/Demand Neuron
DM_q10(m)_Neuron,Sink/Demand Neuron
DM_thf(c)_Neuron,Sink/Demand Neuron
EX_pe_hs(e)_Neuron,Exchange
EX_ps_hs(e)_Neuron,Exchange
sink_4hpro-LT(m)_Neuron,Sink/Demand Neuron
sink_amet_Neuron,Sink/Demand Neuron
sink_decdp_Neuron,Sink/Demand Neuron
sink_dhf(c)_Neuron,Sink/Demand Neuron
sink_dmgly_Neuron,Sink/Demand Neuron
sink_tyr-L(m)_Neuron,Sink/Demand Neuron
10FTHF5GLUtm_Neuron,Neuron
10FTHF6GLUtm_Neuron,Neuron
10FTHF7GLUtm_Neuron,Neuron
10FTHFtm_Neuron,Neuron
"1a,24,25VITD2Hm_Neuron",Neuron
"1a,24,25VITD3Hm_Neuron",Neuron
"1a,25VITD2Hm_Neuron",Neuron
"1a,25VITD3Hm_Neuron",Neuron
"24,25VITD2Hm_Neuron",Neuron
"24,25VITD3Hm_Neuron",Neuron
25HVITD2t_Neuron,Neuron
25HVITD2tin_Neuron,Neuron
25HVITD2tin_m_Neuron,Neuron
25HVITD2tm_Neuron,Neuron
25HVITD3t_Neuron,Neuron
25HVITD3tin_Neuron,Neuron
25HVITD3tin_m_Neuron,Neuron
25HVITD3tm_Neuron,Neuron
25VITD2Hm_Neuron,Neuron
25VITD3Hm_Neuron,Neuron
2AMADPTm_Neuron,Neuron
2OXOADOXm_Neuron,Neuron
2OXOADPTm_Neuron,Neuron
34HPLFM_Neuron,Neuron
3AIBTm_Neuron,Neuron
3AIBt_Neuron,Neuron
3AIBtm_Neuron,Neuron
3DPHBH1_Neuron,Neuron
3DPHBH2_Neuron,Neuron
3HBCDm_Neuron,Neuron
3HBCOAHLm_Neuron,Neuron
3SALAASPm_Neuron,Neuron
3SALATAim_Neuron,Neuron
3SPYRSPm_Neuron,Neuron
4ABUTtm_Neuron,Neuron
4HBZCOAFm_Neuron,Neuron
4HBZFm_Neuron,Neuron
4HGLSDm_Neuron,Neuron
5AOPtm_Neuron,Neuron
5HOXINDACTOXm_Neuron,Neuron
5THFtm_Neuron,Neuron
6DHFtm_Neuron,Neuron
6THFtm_Neuron,Neuron
7DHFtm_Neuron,Neuron
7THFtm_Neuron,Neuron
AACOAT_Neuron,Neuron
AACTOOR_Neuron,Neuron
AACTtm_Neuron,Neuron
AASAD3m_Neuron,Neuron
AATAi_Neuron,Neuron
ABTArm_Neuron,Neuron
