,hc,ec,dc,bc,cc,lc,ic,cfcc,acfbc
c12dc_x,1467.1166666667054,0.00044480446197162884,0.0009948269001193793,2.454484784268855e-05,0.27651848591549294,2.40102898658916e-05,0.0003956694453365763,0.0003956694453365763,0.00044710222339010524
tmtrdcoa_x,1514.5500000000404,0.0013585262298541753,0.0021886191802626344,1.1367014498257565e-08,0.2852278531297883,1.1312885857789667e-08,0.0005188128559502022,0.0005188128559502022,0.00020590472816693324
tridcoa_m,1595.2666666667337,0.0025142971442619977,0.0019896538002387586,8.7989112227253e-09,0.2952129221732746,8.798911222725305e-09,0.0005099728224132579,0.0005099728224132579,0.00043951878138441904
tetd7ecoa_m,1595.9333333334002,0.0025387989029487267,0.0021886191802626344,7.477450557795403e-07,0.2952476061798743,8.545515287297948e-07,0.0005207076716980518,0.0005207076716980518,0.0014152769835206345
tetde5coa_x,1510.1333333333725,0.0008820252724614852,0.0019896538002387586,8.7989112227253e-09,0.2845013019359221,8.798911222725305e-09,0.0005051374113526793,0.0005051374113526793,9.961113087397017e-05
tetdecdicoa_m,1595.7666666667335,0.0025294124692730223,0.0021886191802626344,8.775533048977607e-07,0.29523026315789475,1.252408562597676e-06,0.0005206396542783644,0.0005206396542783644,0.00041197541095767433
tetdecdicoa_x,1510.1333333333725,0.0008796528735795899,0.0019896538002387586,4.680321008676388e-07,0.2845013019359221,5.714945213631634e-07,0.0005047896127070866,0.0005047896127070866,0.00011239425243144327
ttetddcoa_m,1595.9333333334002,0.0025370224788510407,0.0021886191802626344,7.417734870091524e-07,0.2952476061798743,8.531217056561019e-07,0.0005204440596801774,0.0005204440596801774,0.00043135900431069533
5tedtricoa_m,1595.7666666667335,0.002538869499553288,0.0021886191802626344,2.2799021822838355e-07,0.29523026315789475,2.4668134378238844e-07,0.0005207828661870522,0.0005207828661870522,0.00040698286553554955
5tedtricoa_x,1510.1333333333725,0.0008796528815171589,0.0019896538002387586,4.680321008676388e-07,0.2845013019359221,5.714945213631634e-07,0.0005047898391733564,0.0005047898391733564,0.0001123593303651211
3htdcoa_m,1585.0333333333986,0.0017188287105960205,0.001193792280143255,4.3798323414971754e-05,0.29441743307363366,5.252104638848278e-05,0.00042870922725473,0.00042870922725473,0.0004000290554998409
c14dccoa_x,1510.5500000000393,0.000882546654263804,0.0019896538002387586,2.0998056893571308e-08,0.2845657343449213,3.057121711759387e-08,0.0005056844348564809,0.0005056844348564809,0.00019679318324615933
hexde7coa_x,1510.1333333333725,0.0008820630145288207,0.0019896538002387586,8.7989112227253e-09,0.2845013019359221,8.798911222725305e-09,0.0005051408887732938,0.0005051408887732938,0.00010019724521543363
3hdeccoa_m,1585.0333333333986,0.0017729089276593256,0.001193792280143255,1.3767185295509817e-05,0.29441743307363366,1.5468038683887973e-05,0.0004299573451869602,0.0004299573451869602,0.0012844989017684885
hexddcoa_m,1595.2666666667337,0.002521756323040613,0.0019896538002387586,8.7989112227253e-09,0.2952129221732746,8.798911222725305e-09,0.0005104057782802402,0.0005104057782802402,0.00042808498436975077
thexddcoa_m,1595.9333333334002,0.0025383552057965833,0.0021886191802626344,7.412658575155335e-07,0.2952476061798743,8.519118553629774e-07,0.0005206701196425989,0.0005206701196425989,0.0004724167255983247
2hexdtricoa_x,1502.5000000000389,0.0007111832285835748,0.0015917230401910067,3.9519334398318305e-06,0.2831549295774648,8.140328869550977e-06,0.0004716247975523353,0.0004716247975523353,0.00016477621646583337
hexdtrcoa_m,1595.2666666667337,0.002513962450935753,0.0019896538002387586,8.7989112227253e-09,0.2952129221732746,8.798911222725305e-09,0.0005099963637195649,0.0005099963637195649,0.0004430016685249828
4hexdtricoa_m,1595.7666666667335,0.0025347129483953446,0.0021886191802626344,1.732833798273461e-06,0.29523026315789475,4.963452821465471e-06,0.0005208060186820898,0.0005208060186820898,0.0004801051404020032
hexdectecoa_m,1542.4095238095886,0.001827727300964936,0.001392757660167131,4.7172865542194967e-07,0.2849852574279882,6.651301253697152e-07,0.00045465627541913065,0.00045465627541913065,0.00030620225661901135
4hexdtricoa_x,1510.1333333333725,0.0008737197446198626,0.0019896538002387586,2.626371285208372e-06,0.2845013019359221,5.220083754684695e-06,0.0005042537542702403,0.0005042537542702403,0.00016365745050793247
hexdectecoa_x,1462.2333333333706,0.00043989398812822617,0.001392757660167131,1.6482283521679875e-06,0.27512590321874314,2.2884367395521333e-06,0.0004491961406611711,0.0004491961406611711,0.00034176216499361833
2hexdtricoa_m,1590.8500000000663,0.0019296026325472456,0.0015917230401910067,2.52483262114748e-06,0.2947282003166598,7.687912315416082e-06,0.0004757737565480204,0.0004757737565480204,0.00031115781792670857
3hexdtricoa_m,1536.1928571429198,0.0012612262621105783,0.0009948269001193793,8.710922110498048e-08,0.2842438638163104,8.710922110498048e-08,0.00039789686047420015,0.00039789686047420015,0.00020283104922040558
3hexdtricoa_x,1445.1500000000367,0.00027735746663927073,0.0009948269001193793,1.616094376641303e-07,0.27258921791951407,1.789698542702326e-07,0.0003929271380055712,0.0003929271380055712,0.00023467263824256693
