ID,Node,variable,value
PYK_Neuron,Neuron,Sensitivity,0
L-LACtm,Astrocyte,Sensitivity,0.23163182080421377
ALDD2xm,Astrocyte,Sensitivity,0.23163182080421363
AKGDm,Astrocyte,Sensitivity,0.22982072105350101
HEX1,Astrocyte,Sensitivity,1.7084223020084897e-16
PFK,Astrocyte,Sensitivity,1.7084223020084897e-16
FBA,Astrocyte,Sensitivity,0
PGI,Astrocyte,Sensitivity,0
TPI,Astrocyte,Sensitivity,0
LacLtm,Astrocyte,Sensitivity,0.2151506028648214
PCm,Astrocyte,Sensitivity,0.21279607091181432
DM_for,Terminal,Sensitivity,0.20701672498017332
PPAm,Astrocyte,Sensitivity,0.20701672498017287
DM_q10(m)_Neuron,Terminal,Sensitivity,0.2042792885112087
ACACt2_Neuron,Neuron,Sensitivity,0.20164994065519193
ALCD2if_Neuron,Neuron,Sensitivity,0.20143233217756473
ALR_Neuron,Neuron,Sensitivity,0.1999574601762108
EX_pe_hs(e),Exchange,Sensitivity,0.1995916731610817
PEFLIP_Int,Astrocyte,Sensitivity,0.1995916731610817
NaKt_Int,Astrocyte,Sensitivity,1.898247002231655e-17
SERGLNexR_Int,Astrocyte,Sensitivity,0.18018178760793127
CYSGLUexR_Int,Astrocyte,Sensitivity,0.1801817876079312
MMSAD1m_Neuron,Neuron,Sensitivity,0.1791162903049763
GLYKm_Neuron,Neuron,Sensitivity,0.17911629030497436
PNTKm_Neuron,Neuron,Sensitivity,0.17911629030497436
PEFLIPm_Neuron,Neuron,Sensitivity,0.17911629030497414
ALCD2yf_Neuron,Neuron,Sensitivity,0.1759088483639199
DM_thf(c)_Neuron,Terminal,Sensitivity,0.17424627538438464
DM_q10(m),Terminal,Sensitivity,0.1678088996947698
ASNt4_Neuron,Neuron,Sensitivity,0.16135807451028003
BTNt2_Int,Astrocyte,Sensitivity,2.8450946632094066e-32
BTNt4i_Int,Astrocyte,Sensitivity,2.8450946632094066e-32
PROD2m_Neuron,Neuron,Sensitivity,0.150696277441272
MMCDm_Neuron,Terminal,Sensitivity,0.15069627744127184
SUCOAS1m_Neuron,Neuron,Sensitivity,0.15069627744127123
SUCOASm_Neuron,Neuron,Sensitivity,0.15069627744127123
DUTPDPm_Neuron,Neuron,Sensitivity,0.1506962774412712
ACYP_Neuron,Neuron,Sensitivity,0.15069627744127118
DM_atp(m)_Neuron,Terminal,Sensitivity,0.15069627744127106
DURIK1m_Neuron,Neuron,Sensitivity,0.15069627744127106
PCFLOPm_Neuron,Neuron,Sensitivity,0.15069627744127106
PEFLIP_Neuron,Neuron,Sensitivity,0.15069627744127106
PSFLIP_Neuron,Neuron,Sensitivity,0.15069627744127106
PSFLIPm_Neuron,Neuron,Sensitivity,0.15069627744127106
TMDK1m_Neuron,Neuron,Sensitivity,0.15069627744127106
ADK1_Neuron,Neuron,Sensitivity,0.15069627744127093
CKc_Neuron,Neuron,Sensitivity,0.15069627744127093
CREATtmdiffir_Neuron,Neuron,Sensitivity,0.15069627744127093
DPGM_Neuron,Neuron,Sensitivity,0.15069627744126937
PGI_Neuron,Neuron,Sensitivity,2.4297561628565184e-15
HEX1_Neuron,Neuron,Sensitivity,1.518597601785324e-16
PFK_Neuron,Neuron,Sensitivity,1.518597601785324e-16
FBA_Neuron,Neuron,Sensitivity,0
TPI_Neuron,Neuron,Sensitivity,0
BHBt_Neuron,Neuron,Sensitivity,0.13622865829905517
ORNtiDF_Int,Astrocyte,Sensitivity,0.13078157017084208
3AIBtm,Astrocyte,Sensitivity,0.12333690560144794
DM_atp(m),Terminal,Sensitivity,0.12049383658017883
