,Gene_ID,Reactions
60,4128.1,"['41R2A1H12BOOX', 'APRTO2', 'TYROXDAc', '3MOXTYROX', '42A12BOOX', 'TRYPTAOX', '5HXKYNOXDA', 'PEAMNO', '3HXKYNOXDA', '41R1H2MAE12BOOX', 'MAOLNOR', '5HOXINOXDA']"
61,51205.1,"['NTD7l', 'NTD5l', 'NTD2l', 'ACP1_FMN', 'LAPCOAl', 'NTD6l', 'NTD4l', '3NTD7l', 'NTD3l', 'ACNAMPH', 'NTD9l', 'NTD8l']"
62,53.1,"['NTD7l', 'NTD5l', 'NTD2l', 'LAPCOAl', 'NTD6l', 'NTD4l', '3NTD7l', 'NTD3l', 'NTD9l', 'NTD8l']"
63,54.1,"['NTD7l', 'NTD5l', 'NTD2l', 'ACP1_FMN', 'LAPCOAl', 'NTD6l', 'NTD4l', '3NTD7l', 'NTD3l', 'ACNAMPH', 'NTD9l', 'NTD8l']"
64,55.1,"['NTD7l', 'NTD5l', 'NTD2l', 'ACP1_FMN', 'LAPCOAl', 'NTD6l', 'NTD4l', '3NTD7l', 'NTD3l', 'NTD9l', 'NTD8l']"
65,10165.1,"['ASPGLUm', '3SALAASPm', 'GLUt2m']"
66,8604.1,"['ASPGLUm', '3SALAASPm', 'GLUt2m']"
67,2571.1,"['LCYSTCBOXL', 'GLUDC', '3SALACBOXL', 'ASP1DC']"
68,2571.2,"['LCYSTCBOXL', 'GLUDC', '3SALACBOXL', 'ASP1DC']"
69,2572.1,"['GLUDC', '3SALACBOXL', 'LCYSTCBOXL']"
70,51380.1,"['3SALACBOXL', 'LCYSTCBOXL']"
71,2805.1,"['PHETA1', '3SALATAi', 'TYRTA', 'CYSTA', 'ASPTA', 'EHGLAT', 'LCYSTAT']"
72,2806.1,"['EHGLATm', '3SALATAim', 'LCYSTATm', 'VITD3t2', 'EHGLAT2m', 'ASPTAm', 'PHETA1m', 'CYSTAm', 'TYRTAm']"
73,8659.2,"['LCADim', '5HOXINDACTOXm', 'IMACTD_m', 'GCALDDm', 'PYLALDOXm', 'BAMPPALDOXm', 'ALDD20xm', 'GLACOm', 'LCADi_Dm', 'PHCDm', 'P5CDm', '4HGLSDm']"
74,8659.1,"['NABTNOm', 'r0686', 'LCADim', '5HOXINDACTOXm', 'IMACTD_m', 'GCALDDm', 'PYLALDOXm', 'BAMPPALDOXm', 'ALDD20xm', 'GLACOm', 'r0074', 'LCADi_Dm', 'PHCDm', 'P5CDm', '4HGLSDm']"
75,6817.5,"['ESTSULT', 'TRIODTHYSULT', 'DOPASULT', 'TYMSULT', '4NPHSULT']"
76,6817.3,"['ESTSULT', 'TRIODTHYSULT', 'DOPASULT', 'TYMSULT', '4NPHSULT']"
77,6818.3,"['DOPASULT', 'TYMSULT', 'NRPPHRSULT', '4NPHSULT']"
78,6817.4,"['ESTSULT', 'TRIODTHYSULT', 'DOPASULT', 'TYMSULT', '4NPHSULT']"
79,6818.2,"['DOPASULT', 'TYMSULT', 'NRPPHRSULT', '4NPHSULT']"
80,6799.1,"['DOPASULT', '4NPHSULT']"
81,6817.1,"['ESTSULT', 'TRIODTHYSULT', 'DOPASULT', 'TYMSULT', '4NPHSULT']"
82,6799.2,"['DOPASULT', '4NPHSULT']"
83,6817.2,"['ESTSULT', 'TRIODTHYSULT', 'DOPASULT', 'TYMSULT', '4NPHSULT']"
84,4363.1,"['ANDRSTRNGLCte', 'r2505', 'BILGLCURte', 'ESTRIOLGLCte', 'TSTSTERONEGLCte', '5ADTSTSTERONEGLCte', 'BILDGLCURte', 'AHANDROSTANGLCte']"
85,6822.1,"['5ADTSTSTERONESULT', 'DHEASULT', 'PRGNLONESULT', 'TSTSTERONESULT']"
86,6573.2,"['5MTHFt2', 'THMTPt', '5FTHFt2', 'THFt2', 'THMMPt4', 'FOLt2']"
87,6573.1,"['5MTHFt2', 'THMTPt', '5FTHFt2', 'THFt2', 'THMMPt4', 'FOLt2']"
88,316.1,"['r0644', 'PYDXDH', 'r0559', '5HOXINDACTO2OX']"
89,219.1,"['r0643', 'r0642', 'IMACTD_m', 'GCALDDm', 'BAMPPALDOXm', 'GLACOm', 'r0549', 'RE3012M', 'ALDD2y', 'r0464', 'ALDD2x', 'NABTNOm', 'LCADim', 'r0758', 'r0393', '5HOXINDACTOXm', 'r0392', 'PYLALDOXm', 'ALDD20xm', 'ALDD2xm', 'r0688', 'LCADi_Dm', 'RE3346M']"
90,217.1,"['r0643', 'r0642', 'IMACTD_m', 'GCALDDm', 'BAMPPALDOXm', 'GLACOm', 'r0549', 'RE3012M', 'r0464', 'NABTNOm', 'LCADim', 'r0758', 'r0393', '5HOXINDACTOXm', 'r0392', 'PYLALDOXm', 'ALDD20xm', 'ALDD2xm', 'r0688', 'LCADi_Dm', 'RE3346M']"
91,3620.1,"['SRTN23OX', '5HTRPDOX', 'MELATN23DOX', 'TRPO2']"
92,6570.1,"['HISTAVESSEC', '5HTRPVESSEC', 'NRPPHRVESSEC', 'DOPAVESSEC', 'ADRNLPVESSEC']"
93,6571.1,"['HISTAVESSEC', '5HTRPVESSEC', 'NRPPHRVESSEC', 'DOPAVESSEC', 'ADRNLPVESSEC']"
94,2348.4,['5MTHFt']
95,2352.1,"['5MTHFt', 'r0963']"
96,2348.3,['5MTHFt']
97,2348.1,"['5MTHFt', 'r0963']"
98,2348.2,['5MTHFt']
99,2348.6,['5MTHFt']
100,2348.5,['5MTHFt']
101,4123.1,['A_MANASE']
102,4125.1,['A_MANASEly']
103,53947.1,"['A4GALTc', 'A4GALTg']"
104,51146.1,"['A4GNT2g', 'A4GNT1g']"
105,65985.1,"['r0321', 'ACS', 'AACOAT', 'ACS2']"
106,28.1,"['ABO6g', 'ABO5g', 'ABO1g', 'ABO9g', 'ABO7g', 'ABO4g', 'ABO2g', 'ABO3g', 'ABO8g']"
107,223.1,"['r0643', 'r0642', 'ALDD20x', 'GCALDD', 'PYLALDOX', 'NABTNO', 'TMABADH', 'RE3346C', 'r0549', 'LCADi', 'ALDD2y', 'r0464', 'ALDD2x', 'IMACTD', 'RE3012C', 'r0758', 'r0393', 'r0392', 'LCADi_D', 'BAMPPALDOX', 'ABUTD', 'r0688', 'GLACO']"
