,degree,harmonic,eigenvector,closeness,information,katz,pagerank
cholate_e,0.003620273531777956,1948.5499999998217,0.026219395000907315,0.36939078751857357,0.0005833591260469581,0.004953068571016028,0.00021442188981102408
cholate_c,0.00502815768302494,1988.1499999998045,0.033217583703571876,0.37743870037197297,0.0006111704374030726,0.005015303007114909,0.0003059326839708137
cholp_g,0.0010056315366049878,1463.5500000000352,0.00048722794362370306,0.28096745027124775,0.0003888313448088698,0.01951393864437513,0.0001229383945843684
cholp_l,0.0010056315366049878,1469.7333333333713,0.0008087203361235097,0.2812217194570136,0.0003926018576185702,0.0004562425823352737,0.00011357995810164531
chol_g,0.0010056315366049878,1477.0333333333688,0.0005534695001670034,0.28400068544010965,0.00038958090731273644,0.022024961286750737,0.00012261695694643077
chol_r,0.0010056315366049878,1519.1500000000449,0.0006197995864401064,0.28927158482662324,0.0003983372864486947,0.013696081418178008,0.00010810026459675534
chsterol_c,0.004022526146419951,1965.5666666664765,0.020821583589631827,0.3733012988963135,0.000588205771123405,-0.0014488729124486801,0.0003088469346558034
chsterols_c,0.0012067578439259854,1912.7166666665084,0.010932455889789933,0.36371616678858815,0.000438267741452827,-0.004097025059260443,0.0001081242512817948
chsterol_e,0.003620273531777956,2036.6499999998346,0.019531623267806893,0.3856655290102389,0.0005803534393961549,-0.002124977011331176,0.0002782296136781626
chsterol_l,0.0034191472244569586,1575.1666666666918,0.0009867905596633647,0.3014612259746559,0.0005519414121840537,-0.0008388753868281391,0.0003329736728743071
chsterol_m,0.002413515687851971,1651.033333333339,0.002499828018861222,0.3118805670555765,0.0005327147528285422,-0.0020604529201926065,0.00019503357264454208
chsterol_g,0.0020112630732099755,1976.199999999806,0.017416204412168602,0.37615372976244515,0.0005092150864302187,0.02025042116696016,0.00018515033361258848
chtn_c,0.00040225261464199515,1757.733333333283,0.004563574404730092,0.3317320523085135,0.00024730203731883154,-0.006692138470422532,6.0902721257881864e-05
chtn_e,0.0006033789219629927,1354.373809523847,0.00029800808509847617,0.25827229754298475,0.000262740003415054,0.024932132643146757,0.00010990159965926956
acgam_e,0.00040225261464199515,1353.6238095238468,0.0002938790562790564,0.2582320556767425,0.00022017647702094953,0.02282852796925757,7.817645763125526e-05
itaccoa_m,0.001810136765888978,1564.583333333395,0.0018461771920287222,0.29454976303317537,0.0004931469130461746,-0.010056469945197658,0.00013815857326714238
citmcoa_L_m,0.0010056315366049878,1511.7666666667167,0.000826796135424731,0.28633955309836445,0.0004019112438338573,-0.011069889793481856,9.028380365140746e-05
citr_L_m,0.0026146419951729684,1956.7333333331676,0.01149002920002162,0.3676427092576161,0.0005468284542959876,-0.0025325377595395463,0.0001570245736254271
cit_e,0.0010056315366049878,1876.4999999998693,0.008934175615497876,0.3546615307796562,0.00041014266192573683,-0.01797773565725851,8.775772068030018e-05
pep_m,0.0022123893805309734,1486.0333333333876,0.0018192583824948988,0.2870006926806742,0.000521855588016661,-0.034510049847404356,0.0001499576438538041
creat_m,0.0010056315366049878,1534.9761904762565,0.0017181514424816952,0.2865045522646076,0.00039975640644908416,0.007537182819402564,9.365770863353792e-05
