,Gene_ID,Reactions
96,1376,"['C226CPT2', 'C204CPT2_Neuron', 'C226CPT2_Neuron', 'C204CPT2', 'C160CPT2', 'C160CPT2_Neuron']"
97,549,"['ECOAH1m', 'T2M26DCOAHLm_Neuron', 'MGCHrm_Neuron', 'MGCHrm', 'PRPNCOAHYDm', 'PRPNCOAHYDm_Neuron', 'C2M26DCOAHLm_Neuron', 'C2M26DCOAHLm', 'ECOAH1m_Neuron', 'T2M26DCOAHLm']"
98,847,"['CATm', 'CATm_Neuron']"
99,166785,"['CBLATm_Neuron', 'CBLATm', 'CBL2tm_Neuron', 'CBL2tm']"
100,8760,"['CDSm', 'CDSm_Neuron']"
101,6576,"['CITtbm', 'CITtam', 'CITtbm_Neuron', 'CITtam_Neuron']"
102,1160,"['CK_Neuron', 'CK']"
103,1159,"['CK_Neuron', 'CK']"
104,51805,"['COQ3m_Neuron', 'DHDPBMTm', 'COQ3m', 'DHDPBMTm_Neuron']"
105,84274,"['COQ5m_Neuron', 'COQ5m']"
106,51004,"['COQ6m_Neuron', 'COQ6m']"
107,10229,"['COQ7m', 'COQ7m_Neuron']"
108,1371,"['CPPPGO_Neuron', 'CPPPGO']"
109,6584,"['CRNt_Neuron', 'CRNt', 'CRNt_Int']"
110,1384,"['CSNAT2m_Neuron', 'CSNATm_Neuron', 'CSNAT2m', 'CSNATm']"
111,1431,"['CSm', 'CSm_Neuron']"
112,7263,"['CYANSTm_Neuron', 'CYANSTm']"
113,84701,"['CYOOm2', 'CYOOm2_Neuron']"
114,1327,"['CYOOm2', 'CYOOm2_Neuron']"
115,341947?,"['CYOOm2', 'CYOOm2_Neuron']"
116,4514?,"['CYOOm2', 'CYOOm2_Neuron']"
117,1351,"['CYOOm2', 'CYOOm2_Neuron']"
118,1339?,"['CYOOm2', 'CYOOm2_Neuron']"
119,1329,"['CYOOm2', 'CYOOm2_Neuron']"
120,9377,"['CYOOm2', 'CYOOm2_Neuron']"
121,1347,"['CYOOm2', 'CYOOm2_Neuron']"
122,9167?,"['CYOOm2', 'CYOOm2_Neuron']"
123,1346?,"['CYOOm2', 'CYOOm2_Neuron']"
124,1337,"['CYOOm2', 'CYOOm2_Neuron']"
125,125965,"['CYOOm2', 'CYOOm2_Neuron']"
126,1350?,"['CYOOm2', 'CYOOm2_Neuron']"
127,1345,"['CYOOm2', 'CYOOm2_Neuron']"
128,1340,"['CYOOm2', 'CYOOm2_Neuron']"
129,4513,"['CYOOm2', 'CYOOm2_Neuron']"
130,170712,"['CYOOm2', 'CYOOm2_Neuron']"
131,1349?,"['CYOOm2', 'CYOOm2_Neuron']"
132,4512?,"['CYOOm2', 'CYOOm2_Neuron']"
133,4519?,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
134,29796,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
135,10975,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
136,7381,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
137,7384,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
138,7388,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
139,7386,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
140,27089?,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
141,1537,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
142,7385,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
143,56301,"['CYSGLYexR', 'CYSGLYexR_Neuron', 'CYSGLUexR', 'SERGLYexR_Int', 'CYSGLUexR_Neuron', 'SERGLNexR', 'SERGLNexR_Int', 'SERGLYexR', 'CYSGLUexR_Int', 'SERGLNexR_Neuron', 'SERGLYexR_Neuron']"
144,23428,"['CYSGLYex_Int', 'CYSGLYex']"
145,1036,"['CYSO', 'CYSO_Neuron']"
146,124935,"['VALtec_Int', 'LEUtec', 'CYStec_Int', 'LEUtec_Int', 'ILEtec', 'ILEtec_Int', 'LEUtec_Neuron', 'CYStec', 'CYStec_Neuron', 'VALtec', 'ILEtec_Neuron', 'VALtec_Neuron']"
147,51727,"['CYTK1m_Neuron', 'CYTK1m']"
148,9123,"['L-LACt2r_Int', 'D-LACt2_Int', 'D-LACt2_Neuron', 'L-LACt2r_Neuron', 'D-LACt2', 'L-LACt2r', 'PYRt2r_Int', 'PYRt2r', 'PYRt2r_Neuron']"
149,1716,"['DGNSKm_Neuron', 'DGNSKm']"
150,29958,"['DMGDHm_Neuron', 'DMGDHm']"
151,669,"['DPGase', 'PGM', 'DPGM', 'DPGase_Neuron', 'PGM_Neuron', 'DPGM_Neuron']"
152,5223,"['DPGase', 'PGM', 'DPGM', 'DPGase_Neuron', 'PGM_Neuron', 'DPGM_Neuron']"
