ID,Reaction,Node
ALDD2xm,acald[mA] + h2o[mA] + nad[mA] --> ac[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
ALDD2y,acald[cA] + h2o[cA] + nadp[cA] --> ac[cA] + 2.0 h[cA] + nadph[cA],Astrocyte
ALR,h2o[cA] + mthgxl[cA] + nadp[cA] --> 2.0 h[cA] + nadph[cA] + pyr[cA],Astrocyte
AMETt2m,ahcys[mA] + amet[cA] <=> ahcys[cA] + amet[mA],Astrocyte
AOBUTDsm,2aobut[mA] + h[mA] --> aact[mA] + co2[mA],Astrocyte
APAT2rm,akg[mA] + ala-B[mA] <=> glu-L[mA] + msa[mA],Astrocyte
APOC_LYS_BTNPm,apoC-Lys_btn[mA] + h2o[mA] --> apoC[mA] + biocyt[mA],Astrocyte
APOCFm,apoC[mA] + lys-L[mA] --> apoC-Lys[mA] + h2o[mA] + h[mA],Astrocyte
ARGDCm,arg-L[mA] + h[mA] --> agm[mA] + co2[mA],Astrocyte
ARGLYSex,arg-L[e] + lys-L[cA] --> arg-L[cA] + lys-L[e],Astrocyte
ARGtiDF,arg-L[e] --> arg-L[cA],Astrocyte
ARGtm,arg-L[cA] + h[mA] <=> arg-L[mA] + h[cA],Astrocyte
ASNNm,asn-L[mA] + h2o[mA] --> asp-L[mA] + nh4[mA],Astrocyte
ASNt4,asn-L[e] + na1[e] --> asn-L[cA] + na1[cA],Astrocyte
ASNtm,asn-L[cA] --> asn-L[mA],Astrocyte
ASPGLUm,asp-L[mA] + glu-L[cA] + h[cA] --> asp-L[cA] + glu-L[mA] + h[mA],Astrocyte
ASPTA,akg[cA] + asp-L[cA] <=> glu-L[cA] + oaa[cA],Astrocyte
ASPTAm,akg[mA] + asp-L[mA] <=> glu-L[mA] + oaa[mA],Astrocyte
ATPS4m,adp[mA] + 4.0 h[cA] + pi[mA] --> atp[mA] + h2o[mA] + 3.0 h[mA],Astrocyte
ATPtm,adp[cA] + atp[mA] --> adp[mA] + atp[cA],Astrocyte
BACCLm,atp[mA] + btn[mA] + h[mA] --> btamp[mA] + ppi[mA],Astrocyte
BALAVECSEC,3.0 ala-B[cA] + atp[cA] + h2o[cA] --> adp[cA] + 3.0 ala-B[e] + h[cA] + pi[cA],Astrocyte
BALAtmr,ala-B[cA] <=> ala-B[mA],Astrocyte
BAMPPALDOXm,bamppald[mA] + h2o[mA] + nad[mA] --> ala-B[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
BDHm,bhb[mA] + nad[mA] <=> acac[mA] + h[mA] + nadh[mA],Astrocyte
BETALDHxm,betald[mA] + h2o[mA] + nad[mA] --> glyb[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
BHBt,bhb[e] + h[e] <=> bhb[cA] + h[cA],Astrocyte
BHBtm,bhb[cA] + h[cA] <=> bhb[mA] + h[mA],Astrocyte
BTNDm,biocyt[mA] + h2o[mA] --> btn[mA] + lys-L[mA],Astrocyte
BTNPLm,apoC-Lys[mA] + btamp[mA] --> amp[mA] + apoC-Lys_btn[mA] + h[mA],Astrocyte
BTNt2,btn[e] + h[e] <=> btn[cA] + h[cA],Astrocyte
BTNt2m,btn[cA] + h[cA] <=> btn[mA] + h[mA],Astrocyte
BTNt4i,btn[e] + h[cA] --> btn[cA] + h[e],Astrocyte
C160CPT2,coa[mA] + pmtcrn[mA] --> crn[mA] + pmtcoa[mA],Astrocyte
C160CRNt,pmtcrn[cA] --> pmtcrn[mA],Astrocyte
C204CPT2,arachdcrn[mA] + coa[mA] --> arachdcoa[mA] + crn[mA],Astrocyte
C226CPT2,c226crn[mA] + coa[mA] --> c226coa[mA] + crn[mA],Astrocyte
C2M26DCOAHLm,c2m26dcoa[mA] + h2o[mA] <=> 3h26dm5coa[mA],Astrocyte
CATm,2.0 h2o2[mA] --> 2.0 h2o[mA] + o2[mA],Astrocyte
CBL2tm,cbl2[cA] --> cbl2[mA],Astrocyte
CBLATm,atp[mA] + cbl1[mA] + h[mA] <=> adocbl[mA] + pppi[mA],Astrocyte
CDPDAGtm,cdpdag_hs[cA] <=> cdpdag_hs[mA],Astrocyte
CDSm,ctp[mA] + h[mA] + pa_hs[mA] --> cdpdag_hs[mA] + ppi[mA],Astrocyte
CHSTEROLt3,chsterol[cA] <=> chsterol[mA],Astrocyte
CITRtm,citr-L[mA] <=> citr-L[cA],Astrocyte
CITtam,cit[cA] + mal-L[mA] <=> cit[mA] + mal-L[cA],Astrocyte
CITtbm,cit[cA] + pep[mA] <=> cit[mA] + pep[cA],Astrocyte
CK,atp[mA] + creat[mA] <=> adp[mA] + pcreat[mA],Astrocyte
CO2t,co2[e] <=> co2[cA],Astrocyte
CO2tm,co2[cA] <=> co2[mA],Astrocyte
COQ3m,2dpmhobq[mA] + amet[mA] --> ahcys[mA] + h[mA] + q10[mA],Astrocyte
COQ5m,2dp6mobq[mA] + amet[mA] --> 2dp6mobq_me[mA] + ahcys[mA] + h[mA],Astrocyte
COQ6m,2dp6mep[mA] + o2[mA] --> 2dp6mobq[mA] + h2o[mA],Astrocyte
COQ7m,2dp6mobq_me[mA] + h[mA] + nadph[mA] + o2[mA] --> 2dpmhobq[mA] + h2o[mA] + nadp[mA],Astrocyte
COUCOAFm,T4hcinnm[mA] + atp[mA] + coa[mA] --> amp[mA] + coucoa[mA] + ppi[mA],Astrocyte
CPPPGO,cpppg3[cA] + 2.0 h[cA] + o2[cA] --> 2.0 co2[cA] + 2.0 h2o[cA] + pppg9[cA],Astrocyte
CRNt,crn[e] <=> crn[cA],Astrocyte
CRNtim,crn[mA] --> crn[cA],Astrocyte
CSNAT2m,coa[mA] + pcrn[mA] <=> crn[mA] + ppcoa[mA],Astrocyte
CSNATm,acrn[mA] + coa[mA] <=> accoa[mA] + crn[mA],Astrocyte
CSm,accoa[mA] + h2o[mA] + oaa[mA] --> cit[mA] + coa[mA] + h[mA],Astrocyte
CYANSTm,cyan[mA] + tsul[mA] --> h[mA] + so3[mA] + tcynt[mA],Astrocyte
CYANt,cyan[e] <=> cyan[cA],Astrocyte
CYANtm,cyan[cA] <=> cyan[mA],Astrocyte
CYOOm2,4.0 focytC[mA] + 8.0 h[mA] + o2[mA] --> 4.0 ficytC[mA] + 2.0 h2o[mA] + 4.0 h[cA],Astrocyte
CYOR-u10m,2.0 ficytC[mA] + 2.0 h[mA] + q10h2[mA] --> 2.0 focytC[mA] + 4.0 h[cA] + q10[mA],Astrocyte
CYSGLUexR,cys-L[e] + gln-L[cA] --> cys-L[cA] + gln-L[e],Astrocyte
CYSGLYex,cys-L[cA] + gly[e] --> cys-L[e] + gly[cA],Astrocyte
CYSGLYexR,cys-L[cA] + gly[e] <=> cys-L[e] + gly[cA],Astrocyte
CYSO,cys-L[cA] + o2[cA] --> 3sala[cA] + 2.0 h[cA],Astrocyte
CYSTAm,akg[mA] + cys-L[mA] <=> glu-L[mA] + mercppyr[mA],Astrocyte
CYStec,cys-L[e] <=> cys-L[cA],Astrocyte
CYTK1m,atp[mA] + cmp[mA] <=> adp[mA] + cdp[mA],Astrocyte
D-LACt2,h[e] + lac-D[e] <=> h[cA] + lac-D[cA],Astrocyte
D-LACtm,h[cA] + lac-D[cA] <=> h[mA] + lac-D[mA],Astrocyte
DDPGAm,4h2oglt[mA] <=> glx[mA] + pyr[mA],Astrocyte
DECDPtm,decdp[cA] <=> decdp[mA],Astrocyte
DGNSKm,atp[mA] + dgsn[mA] --> adp[mA] + dgmp[mA] + h[mA],Astrocyte
DGSNt,dgsn[e] <=> dgsn[cA],Astrocyte
DGSNtm,dgsn[cA] <=> dgsn[mA],Astrocyte
DHDPBMTm,3dpdhb[mA] + amet[mA] --> 3dpdhb_me[mA] + ahcys[mA] + h[mA],Astrocyte
DHFtm,dhf[cA] <=> dhf[mA],Astrocyte
DMGDHm,dmgly[mA] + fad[mA] + h2o[mA] --> fadh2[mA] + fald[mA] + sarcs[mA],Astrocyte
DMGtm,dmgly[cA] <=> dmgly[mA],Astrocyte
DPGM,13dpg[cA] <=> 23dpg[cA] + h[cA],Astrocyte
DPGase,23dpg[cA] + h2o[cA] --> 3pg[cA] + pi[cA],Astrocyte
DPHMBDCm,3dpdhb_me[mA] + h[mA] --> 2dp6mep[mA] + co2[mA],Astrocyte
DURIK1m,atp[mA] + duri[mA] --> adp[mA] + dump[mA] + h[mA],Astrocyte
DURIt,duri[e] <=> duri[cA],Astrocyte
DUTPDPm,dutp[mA] + h2o[mA] --> dump[mA] + h[mA] + ppi[mA],Astrocyte
ECOAH12m,2mp2coa[mA] + h2o[mA] <=> 3hibutcoa[mA],Astrocyte
ECOAH1m,3hbcoa[mA] <=> b2coa[mA] + h2o[mA],Astrocyte
ECOAH9m,2mb2coa[mA] + h2o[mA] <=> 3hmbcoa[mA],Astrocyte
EHGLAT2m,e4hglu[mA] + oaa[mA] --> 4h2oglt[mA] + asp-L[mA],Astrocyte
EHGLATm,akg[mA] + e4hglu[mA] --> 4h2oglt[mA] + glu-L[mA],Astrocyte
ENO,2pg[cA] <=> h2o[cA] + pep[cA],Astrocyte
ETF,etfox[mA] + fadh2[mA] --> etfrd[mA] + fad[mA],Astrocyte
ETFQO,etfrd[mA] + q10[mA] --> etfox[mA] + q10h2[mA],Astrocyte
ETOHMO,etoh[cA] + h[cA] + nadph[cA] + o2[cA] --> acald[cA] + 2.0 h2o[cA] + nadp[cA],Astrocyte
ETOHt,etoh[e] <=> etoh[cA],Astrocyte
FALDtm,fald[mA] <=> fald[cA],Astrocyte
FBA,fdp[cA] <=> dhap[cA] + g3p[cA],Astrocyte
FCLTm,fe2[mA] + ppp9[mA] --> 2.0 h[mA] + pheme[mA],Astrocyte
FE2t,fe2[e] --> fe2[cA],Astrocyte
FE2tm,fe2[cA] + h[cA] --> fe2[mA] + h[mA],Astrocyte
FORt2m,for[mA] <=> for[cA],Astrocyte
FPGS2m,5thf[mA] + atp[mA] + glu-L[mA] --> 6thf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS3m,6thf[mA] + atp[mA] + glu-L[mA] --> 7thf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS4m,4.0 atp[mA] + dhf[mA] + 4.0 glu-L[mA] --> 5dhf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],Astrocyte
FPGS5m,5dhf[mA] + atp[mA] + glu-L[mA] --> 6dhf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS6m,6dhf[mA] + atp[mA] + glu-L[mA] --> 7dhf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS7m,10fthf[mA] + 4.0 atp[mA] + 4.0 glu-L[mA] --> 10fthf5glu[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],Astrocyte
FPGS8m,10fthf5glu[mA] + atp[mA] + glu-L[mA] --> 10fthf6glu[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS9m,10fthf6glu[mA] + atp[mA] + glu-L[mA] --> 10fthf7glu[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGSm,4.0 atp[mA] + 4.0 glu-L[mA] + thf[mA] --> 5thf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],Astrocyte
FTHFLm,atp[mA] + for[mA] + thf[mA] <=> 10fthf[mA] + adp[mA] + pi[mA],Astrocyte
FUMSO3tm,fum[cA] + so3[mA] <=> fum[mA] + so3[cA],Astrocyte
FUMSO4tm,fum[cA] + so4[mA] <=> fum[mA] + so4[cA],Astrocyte
FUMTSULtm,fum[cA] + tsul[mA] <=> fum[mA] + tsul[cA],Astrocyte
FUMm,fum[mA] + h2o[mA] <=> mal-L[mA],Astrocyte
FUMtm,fum[cA] + pi[mA] <=> fum[mA] + pi[cA],Astrocyte
G3PD2m,fad[mA] + glyc3p[cA] --> dhap[cA] + fadh2[mA],Astrocyte
G5SDym,glu5p[mA] + h[mA] + nadph[mA] --> glu5sa[mA] + nadp[mA] + pi[mA],Astrocyte
G6PDH2r,g6p[cA] + nadp[cA] <=> 6pgl[cA] + h[cA] + nadph[cA],Astrocyte
GAPD,g3p[cA] + nad[cA] + pi[cA] <=> 13dpg[cA] + h[cA] + nadh[cA],Astrocyte
GCALDDm,gcald[mA] + h2o[mA] + nad[mA] --> glyclt[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
GCC2am,gly[mA] + h[mA] + lpam[mA] <=> alpam[mA] + co2[mA],Astrocyte
GCC2bim,alpam[mA] + thf[mA] --> dhlam[mA] + mlthf[mA] + nh4[mA],Astrocyte
GCC2cm,dhlam[mA] + nad[mA] <=> h[mA] + lpam[mA] + nadh[mA],Astrocyte
GCCam,gly[mA] + h[mA] + lpro[mA] <=> alpro[mA] + co2[mA],Astrocyte
GCCbim,alpro[mA] + thf[mA] --> dhlpro[mA] + mlthf[mA] + nh4[mA],Astrocyte
GCCcm,dhlpro[mA] + nad[mA] <=> h[mA] + lpro[mA] + nadh[mA],Astrocyte
GHMT2rm,ser-L[mA] + thf[mA] <=> gly[mA] + h2o[mA] + mlthf[mA],Astrocyte
GHMT3m,3htmelys[mA] + h[mA] --> 4tmeabut[mA] + gly[mA],Astrocyte
GLACOm,glac[mA] + 2.0 h2o[mA] + nad[mA] --> glcr[mA] + 3.0 h[mA] + nadh[mA],Astrocyte
GLCt1r,glc-D[e] --> glc-D[cA],Astrocyte
GLCt2r,glc-D[e] + h[e] --> glc-D[cA] + h[cA],Astrocyte
GLNS,atp[cA] + glu-L[cA] + nh4[cA] --> adp[cA] + gln-L[cA] + h[cA] + pi[cA],Astrocyte
GLNtm,gln-L[cA] --> gln-L[mA],Astrocyte
GLU5Km,atp[mA] + glu-L[mA] --> adp[mA] + glu5p[mA],Astrocyte
GLUDxm,glu-L[mA] + h2o[mA] + nad[mA] <=> akg[mA] + h[mA] + nadh[mA] + nh4[mA],Astrocyte
GLUDym,glu-L[mA] + h2o[mA] + nadp[mA] --> akg[mA] + h[mA] + nadph[mA] + nh4[mA],Astrocyte
GLUNm,gln-L[mA] + h2o[mA] --> glu-L[mA] + nh4[mA],Astrocyte
GLUTCOADHm,fad[mA] + glutcoa[mA] + h[mA] --> b2coa[mA] + co2[mA] + fadh2[mA],Astrocyte
GLUVESSEC,atp[cA] + glu-L[cA] + h2o[cA] --> adp[cA] + glu-L[e] + h[cA] + pi[cA],Astrocyte
GLUt2m,glu-L[cA] + h[cA] <=> glu-L[mA] + h[mA],Astrocyte
GLUt6,glu-L[e] + h[e] + k[cA] + 3.0 na1[e] --> glu-L[cA] + h[cA] + k[e] + 3.0 na1[cA],Astrocyte
GLYATm,accoa[mA] + gly[mA] <=> 2aobut[mA] + coa[mA],Astrocyte
GLYCLTDym,glx[mA] + h[mA] + nadph[mA] --> glyclt[mA] + nadp[mA],Astrocyte
GLYCt,glyc[cA] <=> glyc[e],Astrocyte
GLYCtm,glyc[cA] <=> glyc[mA],Astrocyte
GLYKm,atp[mA] + glyc[mA] --> adp[mA] + glyc3p[mA] + h[mA],Astrocyte
GLYOXm,h2o[mA] + lgt-S[mA] --> gthrd[mA] + h[mA] + lac-D[mA],Astrocyte
GLYt2r,gly[e] + h[e] <=> gly[cA] + h[cA],Astrocyte
GLYtm,gly[cA] <=> gly[mA],Astrocyte
GND,6pgc[cA] + nadp[cA] --> co2[cA] + nadph[cA] + ru5p-D[cA],Astrocyte
GTHOm,gthox[mA] + h[mA] + nadph[mA] --> 2.0 gthrd[mA] + nadp[mA],Astrocyte
GTHPm,2.0 gthrd[mA] + h2o2[mA] <=> gthox[mA] + 2.0 h2o[mA],Astrocyte
H2CO3Dm,co2[mA] + h2o[mA] <=> h2co3[mA],Astrocyte
H2O2t,h2o2[e] <=> h2o2[cA],Astrocyte
H2O2tm,h2o2[cA] <=> h2o2[mA],Astrocyte
