,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
AASAD3m_Neuron,0.0006188234747496064,-0.0008963587737076263,-0.0009487666034156929,-0.0009385225919111159,-0.0002678282798900209,-0.000907064548284294,-0.00011177362152405736,0.0009557045132468726,-0.00011177362152405736,-0.0005802934154926192,-0.3085832640340662,-0.042054421840689506
AATAi_Neuron,0.0007672769922771365,-1.1104124016288338e-06,-0.0009487666034156929,-0.0008594574261049145,-3.838063790783723e-05,-0.0008117506530506196,-0.0002820362434410372,0.0009569564224839126,-0.0002820362434410372,-0.0005953450006893308,-1.0213676165781211,-0.0006637925146163843
ABTArm_Neuron,0.0006188234747496064,-3.174478245625062e-05,-0.0009487666034156929,-0.0009352255936114392,-0.0002678282798900209,-0.0009078866979813876,0.0013198544045784414,0.0009570980138750864,0.0013198544045784414,-0.000606444929607617,-0.8284251462069184,-0.0017981604083502406
ABUTt2r_Neuron,0.0013595898544381108,7.042457645842592e-05,-0.0009487666034156929,-0.0006840744054427499,0.0007638916371715331,-0.0006837575318497992,0.0017746596564957925,0.0006339170315193196,0.0017746596564957925,0.0006347922884424851,-0.4258459968716003,-0.0008619406016495483
ACACT10m_Neuron,0.0005008293988016058,-3.9743550210666086e-05,-0.0009487666034156929,-0.000993434278456768,-0.0005548374815018953,-0.0010174690875644856,-0.00016227017928013637,0.0009574506677394983,-0.00016227017928013637,-0.0005819030839040642,0.1483441611084523,-0.0013003023954361414
ACACT1r_Neuron,0.0006188234747496064,-2.555643187136449e-09,-0.0009487666034156929,-0.0009344360469375688,-0.0002678282798900209,-0.000889157471076186,-0.0032683567934425114,0.0009600576573404136,-0.0032683567934425114,-0.0005713360489391373,-2.0324244765798163,-0.0005293037266070344
ACACT1rm_Neuron,0.0005008293988016058,-3.1549714340920304e-05,-0.0009487666034156929,-0.000993433510140659,-0.0005548374815018953,-0.001017368681467008,-0.00016620993470108526,0.000957545883179989,-0.00016620993470108526,-0.0005819594298462436,-2.61753303925318,-0.0011790504428125439
ACACt2_Neuron,0.001093149518058129,7.015151524540434e-05,-0.0009487666034156929,-0.0008271685906800754,0.0002483251552275508,-0.0008187696589539298,0.00025471676292292855,0.0006402882379204539,0.00025471676292292855,0.0006050506009804053,-0.9724761872759747,-0.0011677248396598512
ACACt2m_Neuron,0.0009286650813887341,-0.0008636601784428761,-0.0009487666034156929,-0.0008929818834649057,0.00030568661406339453,-0.0007682700143259126,-1.0101409406932818e-05,0.000919285550331776,-1.0101409406932818e-05,-0.0004876330959137926,-0.4128530655037975,-0.03924192402522162
ACALDt_Neuron,0.0007894049571226336,-2.9070288253392897e-07,-0.0009487666034156929,-0.0009549222132305906,-8.66275039171135e-06,-0.0010586750832302983,-0.00043560028803887174,0.0009351298219434447,-0.00043560028803887174,-0.000821005881172818,-0.2527177687422418,-0.0005179512421159552
