,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
GLYATm_Neuron,0.0012012063387254498,0.00020758624551659151,-0.001368359308100945,-0.0027254198411252573,-4.0937993736370635e-05,-0.002730945824149819,-0.0005703191790155258,0.001123515998157907,-0.0005703191790155258,-0.0012502784733438627,0.43454148832515993,-0.0010027345310521937
GLYCLTDym_Neuron,0.0014597931462659458,0.0016030360581764836,-0.0013140114682220754,-0.0026329057842211833,0.0002735146791132258,-0.002601422875980909,-0.0005973112009347593,0.0004215853889276945,-0.0005973112009347593,-0.0018381617783483433,0.3720445997914942,-0.0009713837227702006
GLYCt_Neuron,0.0022138603523796535,0.10941706822167198,-0.0012336078513339147,-0.0019457463176381813,0.0007511043330466127,-0.0023292249279831248,-0.000479939147011134,-0.0002018943925648785,-0.000479939147011134,-0.002019654354583174,-0.22331735074492237,-0.001747055245023134
GLYCtm_Neuron,0.001645999910504526,0.33433590882479286,-0.00127663780109828,-0.002746321986681691,0.00011044247694861593,-0.0027422350723930173,-0.0005230184171484973,-0.0001669061091313849,-0.0005230184171484973,-0.0016023796980046624,-0.00787465141060193,-0.0006450069506398339
GLYKm_Neuron,0.001645999910504526,0.3338417434233507,-0.00127663780109828,-0.0027464362068881946,0.00011044247694861593,-0.0027427104110992187,-0.0005389316973842152,-0.0001655907766794335,-0.0005389316973842152,-0.0015837587973033815,0.09633251507129313,-0.0006454678827152249
GLYOXm_Neuron,0.020562078680653215,-0.8586639166840553,-0.1104909402615561,0.08366978639233964,0.022326799553051824,0.0836749848849892,-0.05388353667460122,0.08958900659227971,-0.05388353667460122,0.036545788219659016,0.14367019072186296,0.08340313815033791
GLYtm_Neuron,0.0017123159727126767,0.38265805817349297,-0.0012209219756477156,-0.0032952544762227197,0.00013367272751952985,-0.003173075029599513,-0.0005047315494317168,-0.00047420063454478323,-0.0005047315494317168,-0.0017517693997580082,-27.250731267430023,-0.0006224214593412295
GND_Neuron,0.0015227474434839584,0.02963973971383352,-0.0013140114682220754,-0.0027802457855323616,0.0003084496345754549,-0.002786204565505663,-2.4784156070808775e-05,0.0002722167605647135,-2.4784156070808775e-05,-0.00393520277001128,0.21030960338564467,-0.001299986338071814
GTHOm_Neuron,0.001645999910504526,0.3296120148978235,-0.00127663780109828,-0.002729988590247675,0.00011044247694861593,-0.00272999515464622,-0.0005374370724346133,-0.0001669061091313849,-0.0005374370724346133,-0.0016232767727713047,0.28074113606883144,-0.0006176585777488399
GTHPm_Neuron,0.0013906967401391252,0.0022819393204621145,-0.0013140114682220754,-0.0027092008985894647,0.00018031943970902073,-0.002704921472640988,-0.0006264139141253916,0.0009269047032581489,-0.0006264139141253916,-0.0011112821424467925,0.17215377614160327,-0.0010191786097420337
H2CO3Dm_Neuron,0.0017409597175052118,0.3981876981568411,-0.0012209219756477156,-0.0033111372137904905,0.00013367272751952985,-0.0031793751613336378,-0.00043642159856013097,-0.0004831468323666719,-0.00043642159856013097,-0.002013549045056352,-0.05305284019551321,-0.000638400273741425
H2O2t_Neuron,0.0012668205081281638,0.0038079425927751926,-0.001368359308100945,-0.0027270189016723894,-5.995423044599098e-06,-0.0027255983163411877,-0.0007305202683336638,0.0012473042836981668,-0.0007305202683336638,-0.0008362247114573361,-0.013166664466071214,-0.0010070376363414688
H2O2tm_Neuron,0.0027360368945766474,0.3280259496708364,-0.0026460374791133284,-0.0054579434609109976,-0.00015195418918687525,-0.005457903452848469,-0.004023945028816057,0.00116123181319933,-0.004023945028816057,-0.0023343714851500426,0.3413255710316625,-0.0015939170072910602
H2Ot_Neuron,0.0016361304718735847,0.07108888604063955,-0.0013140114682220754,-0.00419627629129515,0.00040173024986953266,-0.002758159004309485,-0.0001722674783256015,-0.00568606449521173,-0.0001722674783256015,-0.010614387016654264,0.9540911511152929,-0.0022145656763152416
H2Otm_Neuron,0.0018171396828937088,0.3768199649487185,-0.00122229341629,-0.0034954583167733587,0.00031996955505972255,-0.002911465549051261,-0.000438267770922441,-0.0016578170269171964,-0.000438267770922441,-0.007664446973592587,0.2217247811757522,-0.0006408585685877435
HACD1m_Neuron,0.0013987621706844971,0.07314979268230944,-0.001355329355488897,-0.0026902409574917486,5.208418928869691e-05,-0.0027075357698467216,-0.00035879658440964615,0.0010111511926077811,-0.00035879658440964615,-0.0014541432977201467,-27.81018517295064,0.000466332882960978
HACD9m_Neuron,0.0013650555942459697,0.04131661489483299,-0.001368359308100945,-0.0026919541949410996,4.046845387284728e-05,-0.0027139527012549993,-0.0003651259874919697,0.0012115618354382432,-0.0003651259874919697,-0.0016238974825912983,-0.20680191510571705,-6.158501938526833e-05
HBZOPT10m_Neuron,0.0038772865871269813,0.04028946521674723,0.05903032689061637,-0.0048003204865791835,0.002973374174206735,-0.0035809761747001693,0.03123487015837578,-0.001324205584379461,0.03123487015837578,-0.015264033661340748,0.039383365136411226,-0.09323481945218753
HCO3Em_Neuron,0.005021716837121569,1.423572058782439,0.059124370927384325,0.08668260473763845,0.0019614136180914625,0.08793246601975824,0.025928912472729267,-0.0016302984046993826,0.025928912472729267,0.026007503533512128,0.06800533777503649,0.5947818380482662
