Muestra,MDS_Componente_1,MDS_Componente_2,tSNE_Componente_1,tSNE_Componente_2,isomap_Componente_1,isomap_Componente_2,k-labels
M52,-1.4775367825041448,9.001748584091752,55.785797,14.406665,18.469468566124384,1.409906089677464,E
M47,3.0075944100709036,8.096041199598337,61.292072,13.349103,17.3711896976506,-5.0052238101803015,E
M24,7.279592382427769,8.19463162499947,22.760036,45.898643,0.9119601197132957,-7.707606599660318,B
M07,-2.1684442307479523,6.688082068964252,49.49628,6.2014136,15.016239186824597,-1.9123945364406187,B
M90,-8.561355456470734,1.9282095979612348,63.206924,-20.366304,12.403262919083668,-15.04950709009962,B
M42,-1.1279961687286384,4.798809150448266,45.418777,1.9731246,12.976222358061637,-1.6016681033086233,B
M20,2.31086413774837,7.62874449596746,58.64928,13.733561,19.735358877292835,-1.1840155581661012,E
M92,0.09205420666292738,5.782596168651337,61.047153,2.5632255,15.695297980032777,1.6318221705583118,B
M88,1.1064057591482872,8.947104652162167,69.52888,10.686712,17.249949366650647,-7.334378532207047,E
M36,-2.7420505647494546,5.80401427571535,39.858322,2.7550669,15.982792682090535,-2.881084454522385,B
M9,4.467981828428516,8.239976141353507,70.10323,18.983818,16.127912023093852,-2.870420486628552,E
M52,2.798350536462716,8.141104259762521,62.278694,11.782319,20.141820933161757,-2.954399917000929,E
M67,-0.007186702440872677,5.313215697688912,68.58972,7.9919868,15.700022428908282,-2.895469390068885,E
M50,-3.587134453911955,5.403545293619539,51.799168,-36.63339,15.204955481274554,3.5892848740385697,B
M20,0.688941963807262,6.567373389492087,64.24817,-13.233294,17.111731697590432,-5.987248028084685,B
M18,-1.0208259048171253,5.84948321222779,57.645382,-15.401607,18.059693046134267,-5.7989928211578885,B
M10,-4.5355965096585065,3.774871733186911,53.107864,11.498201,15.67406034905423,-2.597964193965825,E
M61,0.5238778093635202,7.22592170116285,59.767548,15.606954,19.151040793001908,0.15232270152359909,E
