,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
HMBS_Neuron,0.0011796003223796178,0.22908016921201205,-0.0008466368198966347,-0.00228638935417573,8.460033645346268e-05,-0.0022013330271555246,-0.00035430365285602834,-0.00032710287617995147,-0.00035430365285602834,-0.0012092274770446638,-209391250.11315778,-0.00045357747921253357
HMGCOASim_Neuron,0.0010336777535259677,0.020193284172729652,-0.0009170464520807401,-0.0018824947385863307,4.4282237842377826e-05,-0.0018869828331430874,-0.0003360765467198546,0.0003329928070272718,-0.0003360765467198546,-0.0004925317976106807,0.047749343884034526,-0.000743042564887085
HMGLm_Neuron,0.0011358530277094465,0.03173680148114587,-0.0008446150679898448,-0.0018772597359690828,6.856438068718633e-05,-0.0018795557234033888,-0.00033827107951060596,-0.00017195995138447612,-0.00033827107951060596,-0.00038965699293150394,0.29133678093676546,-0.0007882466343711927
HPROxm_Neuron,0.0009219777670597382,1.5642849772390015e-05,-0.0009489243404856549,-0.0018913785045821688,0.00014932323787054776,-0.001893089650310988,-0.0007062962722053281,0.0007301250886920856,-0.0007062962722053281,-0.0009227561150067595,0.060610876645421995,-0.0006278119857553229
Ht_Neuron,0.0011334363987923416,0.048080742109857855,-0.0009112182517443844,-0.0029128712692383435,0.00027841942415930107,-0.001913638811547373,-0.00011941384616936253,-0.00394905662950326,-0.00011941384616936253,-0.0073844641023234,0.10956991911143166,-0.0015361987008891932
Htm_Neuron,0.0012587523536959214,0.2298667262219699,-0.0008475882353849193,-0.002425804591395928,0.00022176140225904205,-0.002020111818733386,-0.00030383021679847533,-0.0011497716793293358,-0.00030383021679847533,-0.005326726638846556,0.020605068487204843,-0.0004443079855201547
ICDHxm_Neuron,0.0011796003223796178,0.22908016921201205,-0.0008466368198966347,-0.00228638935417573,8.460033645346268e-05,-0.0022013330271555246,-0.00035430365285602834,-0.00032710287617995147,-0.00035430365285602834,-0.0012092274770446638,0.08228359800428883,-0.00045357747921253357
ICDHyrm_Neuron,0.0011796003223796178,0.22908016921201205,-0.0008466368198966347,-0.00228638935417573,8.460033645346268e-05,-0.0022013330271555246,-0.00035430365285602834,-0.00032710287617995147,-0.00035430365285602834,-0.0012092274770446638,-0.13863629445974937,-0.00045357747921253357
ILETA_Neuron,0.0009959192841463233,0.008174344645170457,-0.000881007852068649,-0.0018583824535889728,2.81151304852794e-05,-0.0018630514293292856,-0.0003934423592012021,0.0003870125971825739,-0.0003934423592012021,-0.0002220916418891453,-259231089.26331222,-0.00031135759899416466
ILETAm_Neuron,0.0010068386933775647,0.01958165577994688,-0.0009112182517443844,-0.0018909819045263155,0.00014925832441394895,-0.0018901187569844023,-0.0003666179934964405,0.00037553501893666146,-0.0003666179934964405,-0.0024608261775841255,-0.23861516966641777,-0.0008986086269625225
ILEt5m_Neuron,0.0011402695951717849,0.20644624888222832,-0.0008852895300787353,-0.0018936787910983782,7.65499614132372e-05,-0.0018930071252585142,-0.000340892339629886,-0.00011752084445074056,-0.000340892339629886,-0.0011222135759590825,-0.11106570609215445,-0.00042821996171691306
ILEtec_Neuron,0.0010567648594729786,0.00043452446865627805,-0.0009489243404856549,-0.0019362756605414027,0.00031878353604747545,-0.0019188381305384958,0.0012517005312716884,0.0006379048878527509,0.0012517005312716884,-0.0007534339809119005,-193640715.79734012,-0.001042488964514325
IMACTD_m_Neuron,0.0010434294771913424,0.007463179176680547,-0.000881007852068649,-0.0018402990014838604,6.849945674403228e-05,-0.0018454749540567873,0.0002755786969932874,0.00028980921440191026,0.0002755786969932874,-0.00022553125578070343,-0.12897236045612143,-0.0003220093725598188
