,eigenvector_centrality,pagerank,katz_centrality,global_reaching_centrality,closeness_centrality,harmonic_centrality,information_centrality,load_centrality,betweenness_centrality
EX_tststerones_e,1.2548907595424767e-08,0.0001351466414380322,0.011007471298683909,0.2109971827353095,0.24431161454377331,1865.0059523810235,6.239047721615104e-05,0.0,0.0
EX_tsul_e,7.404298941361424e-07,0.00013513991157741817,0.011007528235216968,0.2109971827353095,0.2805354366539001,2186.8738095236927,0.00011570295015697072,0.0,0.0
EX_ttdca_e,3.923524016404143e-05,0.00013514215282174995,0.011010094301852761,0.2109971827353095,0.34313543599257884,2685.5166666665905,0.00026024193558418936,0.0,0.0
EX_txa2_e,2.1702591108593818e-14,0.0001351466414380322,0.011007471281803079,0.2109971827353095,0.16474046362482464,1243.7146825395344,4.965003872170351e-05,0.0,0.0
EX_tymsf_e,1.2554326406599743e-08,0.0001351466414380322,0.011007471298674104,0.2109971827353095,0.2442874124950469,1864.8226190476903,6.239046127008093e-05,0.0,0.0
EX_Tyr_ggn_e,1.0230267469792799e-07,0.00013513999734236174,0.011007484476222901,0.2109971827353095,0.24891490865044918,1930.7214285715163,0.0001150503901620699,0.0,0.0
EX_tyr_L_e,5.764160543760682e-05,0.00013514259421309983,0.011074275226696025,0.2109971827353095,0.3008295380611581,2393.228571428407,0.000737238873076291,0.0,0.0
EX_udp_e,2.7596584650229025e-06,0.00013514012071830721,0.011009736164380805,0.2109971827353095,0.27456947743467935,2126.138095238069,0.00026945036246501543,0.0,0.0
EX_ump_e,2.9350013431330902e-06,0.00013514019210824978,0.011010858577584172,0.2109971827353095,0.2747020162637852,2128.1380952380664,0.00032350988246762993,0.0,0.0
EX_ura_e,4.437097253777965e-08,0.0001351421363247286,0.011007471785170869,0.2109971827353095,0.2518468085106383,1924.4547619048178,9.892140592382619e-05,0.0,0.0
EX_urate_e,2.17042529715193e-05,0.00013514148759536648,0.011009917082357441,0.2109971827353095,0.34067047338368023,2669.8333333332384,0.0002630919261776937,0.0,0.0
EX_urea_e,1.1119119370650617e-05,0.00013514224465696105,0.011009813819985276,0.2109971827353095,0.3132356677110678,2453.6333333331368,0.0002593431126207283,0.0,0.0
EX_uri_e,1.7500584497586028e-06,0.00013514117202898047,0.011010904877411899,0.2109971827353095,0.28547173451668917,2234.4476190474907,0.000319767264942279,0.0,0.0
EX_utp_e,2.0049293009581536e-06,0.00013514076745640473,0.011009722491049562,0.2109971827353095,0.2771097876165861,2143.2952380951792,0.00026649226364366913,0.0,0.0
EX_vacc_e,1.843952589168729e-05,0.00013514439776136718,0.011008766994612297,0.2109971827353095,0.33171912832929784,2594.509523809383,0.00017631961403070918,0.0,0.0
EX_val_L_e,5.664743932396484e-05,0.00013514271511689172,0.011075372899089239,0.2109971827353095,0.3008417713797731,2393.728571428407,0.0007383692250105494,0.0,0.0
EX_vitd2_e,8.655369550842212e-13,0.0001351466414380322,0.011007471281792592,0.2109971827353095,0.17706613053780426,1344.6289682539555,4.268531494323008e-05,0.0,0.0
EX_vitd3_e,2.9540412584397164e-08,0.0001351443888813804,0.011008573064486996,0.2109971827353095,0.2521644283863931,1926.3047619048157,0.0001559077102006211,0.0,0.0
EX_whddca_e,1.4726011977259567e-08,0.0001351466414380322,0.011007471303898345,0.2109971827353095,0.2520012262833396,1924.0714285714819,6.239594185108675e-05,0.0,0.0
EX_whhdca_e,1.4726930532774771e-08,0.0001351466414380322,0.011007471303943158,0.2109971827353095,0.25209568595379267,1924.754761904815,6.23959813369399e-05,0.0,0.0
EX_whttdca_e,1.4726025439647566e-08,0.0001351466414380322,0.011007471303898347,0.2109971827353095,0.2520012262833396,1924.0714285714819,6.23959420349301e-05,0.0,0.0
EX_xolest_hs_e,3.3048085210834833e-09,0.00013514438888138038,0.011007471398817012,0.2109971827353095,0.21731339776165437,1655.2238095239923,8.104980186632585e-05,0.0,0.0
EX_xolest2_hs_e,9.908126144523718e-07,0.00013514625590429753,0.011010800300143621,0.2109971827353095,0.2814747174980025,2174.6928571427384,0.000288833871954291,0.0,0.0
EX_xoltri24_e,4.759217095926138e-14,0.0001351466414380322,0.011007471281792275,0.2109971827353095,0.17243951330940283,1303.1992063490998,4.266344546767179e-05,0.0,0.0
EX_xoltri25_e,4.759217095926138e-14,0.0001351466414380322,0.011007471281792275,0.2109971827353095,0.17243951330940283,1303.1992063490998,4.266344546767175e-05,0.0,0.0
EX_xoltri27_e,2.9473179111851206e-08,0.00013514326260305449,0.011007471546203173,0.2109971827353095,0.25203556706299185,1924.5380952381486,8.835314907385332e-05,0.0,0.0
EX_xyl_D_e,2.8905212477047796e-13,0.0001351466414380322,0.011007471281825922,0.2109971827353095,0.17269310674852353,1301.8952380951414,5.592103209661895e-05,0.0,0.0
EX_xylt_e,3.7648670818152806e-08,0.00013514326260305449,0.011007471552683957,0.2109971827353095,0.24444077317032875,1866.3726190476898,9.01363383744595e-05,0.0,0.0
