,betweenness_centrality,closeness_centrality,eigenvector_centrality,global_reaching_centrality,harmonic_centrality,information_centrality,load_centrality,pagerank
34DHOXPEGOX,0.00020452833720296235,-8.65175947262879e-06,0.0006141255407791193,-0.00014197478508593718,-0.00017814862144027518,-6.002632499645935e-06,0.00019980878813931092,0.00024895040061115217
34DHOXPEGt,0.0001949983163371389,-5.829622532097297e-06,0.0009312531756269285,-0.00014197478508593718,-0.0001900351190641307,0.00016628221251215953,0.0001949983163371389,0.00019507115626598846
34DHPHAMT,0.00048025528843648814,-8.54338344572893e-06,0.0006140318392616013,-0.00014197478508593718,-0.00017816842216885617,-6.001154438434403e-06,0.00045420768734394384,0.00020410454549892363
34DHPHEt,0.0002763574652952148,-6.244640137997993e-05,3.6643365066627964e-05,-0.00014197478508593718,-0.00027005466723064084,8.178922912098997e-05,0.00018625807435641967,0.00014304881524802474
34DHPLACOX,-0.001348724140766031,-9.667855335547473e-05,-0.0001125671331466033,-0.00014197478508593718,-0.00033532721591256773,-9.264678852009397e-06,-0.0015180512388126384,0.00023408414848599977
34DHPLACOX_NADP,-0.0015467236582531834,-9.671873991349663e-05,-0.00011270713456752497,-0.00014197478508593718,-0.0003355351860929419,-9.280782514557308e-06,-0.00175402400181267,0.00022928076575499552
34DHXMANDACOX,-0.001348724140766031,-9.667855335547473e-05,-0.0001125671331466033,-0.00014197478508593718,-0.00033532721591256773,-9.264678673737568e-06,-0.0015180512388126384,0.00023408414848599977
34DHXMANDACOX_NADP,-0.0015467236582531834,-9.671873991349663e-05,-0.00011270713456752497,-0.00014197478508593718,-0.0003355351860929419,-9.280782514557308e-06,-0.00175402400181267,0.00022928076575499552
34HPLFM,0.00040489218339114007,-5.3175259810693465e-05,0.0011102055222468178,-0.00014197478508593718,-0.00023267702278463153,-4.686447957026302e-06,0.0002128555407223689,0.0001769683870583077
34HPPOR,0.0009122920131880601,-0.00011984816438586865,-0.0030530564353201377,-0.00014197478508593718,-0.0004583670633607106,-8.270922097911148e-05,0.000624901787752101,0.0001688802956050161
35CGMPtn,0.00042580379183964354,-6.229399380585267e-05,0.0004233236219027371,-0.00014197478508593718,-0.00026999233551863993,0.00011440085906690385,0.00039081162616508286,6.66937144119668e-05
3AIBt,0.0001949983163371389,5.056463323949648e-06,0.0017781480934029163,-0.00014197478508593718,-0.00018504614880472878,0.0001796952845720799,0.0001949983163371389,0.00025989145460915473
3AIBTm,0.0001952695615756991,8.499115583367838e-06,0.0010736644930022746,-0.00014197478508593718,-0.00017267902796921382,1.011975499415271e-05,0.00019547964188523713,0.00018706207934970727
3AIBtm,0.00019497194913576784,6.340744936221154e-06,0.0014173684316517224,-0.00014197478508593718,-0.00018109012905135767,0.0001666776694889541,0.00019497194913576784,0.00013198695534870995
3DPHBH1,0.0009059842050768731,-4.770938906965921e-05,0.001077310748286087,-0.00014197478508593718,-0.0002238101338982888,-4.991757821158458e-06,0.0006883791701602843,0.0002345815197617081
3DPHBH2,0.0009156981995184054,-4.782208143936152e-05,0.0010772231782361994,-0.00014197478508593718,-0.00022403024614718885,-4.9828277207541775e-06,0.0007067943666582804,0.00023380126741995666
3DSPHR,0.0005413017023159367,-8.735964875779555e-06,0.0006147160562706886,-0.00014197478508593718,-0.00017828805345966058,-5.998991712117115e-06,0.0005162157518481942,0.00020506094045957284
3HAO,0.0034353065248990855,-0.00012270270650051435,-0.004394860724925709,-0.00014197478508593718,-0.000479542312296929,-0.00014528537206799535,0.006122099413993357,0.00010698963822638757
3HBCDm,0.0002977212654554827,-5.505311869546393e-05,0.0012124898275270904,-0.00014197478508593718,-0.00024494112208126446,-2.7384590899703176e-06,0.00016861196850225928,0.00020577564487483162
3HBCOAHLm,0.00012934065163999525,-4.6351153119909205e-05,0.0010894363786387792,-0.00014197478508593718,-0.00022066192846507984,-5.1592552792897056e-06,0.00022724747789404275,0.0002478156420811923
3HKYNAKGAT,0.0004543141620754689,-4.406511106022889e-05,7.29943580598941e-05,-0.00014197478508593718,-0.00023242408678323523,2.011285777388259e-06,0.0004523851081057661,0.00012832313603385964
3HLYTCL,0.00045354684499622554,-8.12072006048806e-06,0.0006043415389658466,-0.00014197478508593718,-0.0001774656342640907,-6.021309537926059e-06,0.0004359101804051337,0.0002297435899481461
3HPCOAHYD,-0.0009448436479692474,-9.425497342854274e-05,-0.00010095454454270571,-0.00014197478508593718,-0.00032845630405551815,-8.969784142637153e-06,-0.0011013800753593753,0.0002714778412375156
3HPPD,0.0005825275962453943,-8.699886166070594e-06,0.0006153586793677207,-0.00014197478508593718,-0.00017822197951690105,-6.001193980414277e-06,0.00041517192410964453,0.00018375750879904624
3HXKYNDCL,0.0006951616614824678,-8.290015152716284e-06,0.0006091357493982192,-0.00014197478508593718,-0.00017780464584149277,-6.011177878842504e-06,0.0007127577605068692,0.0001914607448644014
3HXKYNOXDA,-0.001688726325684443,-0.00011926032950953592,-0.0036420401018530646,-0.00014197478508593718,-0.00045652739677800816,-9.568009936177971e-05,0.0009932401308897936,0.0001288604471401136
3M4HDXPAC,-0.001348724140766031,-9.667855335547473e-05,-0.0001125671331466033,-0.00014197478508593718,-0.00033532721591256773,-9.264678673737568e-06,-0.0015180512388126384,0.00023408414848599977
3MLDAt,0.0001949983163371389,-6.424243267570913e-05,0.00020158208954313607,-0.00014197478508593718,-0.00027459681350481304,0.0001658408621575411,0.0001949983163371389,0.00019504911695773387
3MOBt2im,0.0003540085105992423,-9.833831202553653e-07,0.0006363080756852452,-0.00014197478508593718,-0.00016764087783253153,-6.237416378495733e-06,0.0004080325616209055,0.0003229998340499273
3MOPt2im,0.0003541616437287369,-9.833831202553653e-07,0.0006363073763974234,-0.00014197478508593718,-0.00016764087783253153,-6.237417803706346e-06,0.00040812838567537543,0.0003229926413920518
3MOX4HOXPGALDOX,-0.001348724140766031,-9.667855335547473e-05,-0.0001125671331466033,-0.00014197478508593718,-0.00033532721591256773,-9.264678852009397e-06,-0.0015180512388126384,0.00023408414848599977
3MOX4HOXPGALDOX_NADP,-0.0015467236582531834,-9.671873991349663e-05,-0.00011270713456752497,-0.00014197478508593718,-0.0003355351860929419,-9.280782514557308e-06,-0.00175402400181267,0.00022928076575499552
3MOXTYROX,0.003696731459530131,-0.00010753840047666997,-0.0011236364595513533,-0.00014197478508593718,-0.00038218268537894794,-1.5101544145697092e-05,0.003845911313798969,0.0001959767078640462
3NTD7l,0.00039410464885696126,-6.939913100456309e-05,0.0003548255807669403,-0.00014197478508593718,-0.00027589663687932307,-1.041008578649999e-06,0.0003920796379531807,0.00019810066440859695
3SALAASPm,0.0003643820319697805,-4.8791572727094246e-05,-6.172309558266592e-05,-0.00014197478508593718,-0.00024102629812145955,1.1459358372055276e-05,0.00039975125984517755,8.894974412278777e-05
3SALACBOXL,0.0007103999633448035,-8.314175129685089e-06,0.0006092387624788076,-0.00014197478508593718,-0.00017780099366715397,-6.011894749738118e-06,0.0007334459874514341,0.00019408775726475333
3SALAOX,-0.0004465764348457214,-0.0001227823212383307,-0.004392007846825464,-0.00014197478508593718,-0.00047996774726659667,-0.00014194631432281672,-4.885907777125361e-05,0.0001112098887632961
3SALATAi,0.000665112809039808,-4.404142163824327e-05,6.37475880743373e-05,-0.00014197478508593718,-0.00023236169607957364,1.9393074451394733e-06,0.0006675225052799911,0.0001309543913016583
3SALATAim,0.000414020715177299,8.432161480198657e-06,0.0010563849676918256,-0.00014197478508593718,-0.00017282900325148962,1.0856825131136568e-05,0.0004024614022306645,0.00011876110979953522
3SPYRSP,-0.0008928752168677694,-0.00010636162896108269,-0.0011026158356216263,-0.00014197478508593718,-0.0003801935318928946,-1.6101785320549693e-05,-0.0006912557251323251,0.00020978297312503177
3SPYRSPm,0.00034230769163423857,-5.465833165888346e-05,0.0012037973770851595,-0.00014197478508593718,-0.00024379869726669733,-2.94185126848742e-06,0.00017671700197054467,0.0001881202952397836
41R1H2MAE12BOOX,0.004726557360448598,-0.00010763373329421092,-0.0011371294926442212,-0.00014197478508593718,-0.00038300282716415034,-1.5384115522108508e-05,0.005176036337409609,0.00018629588548792203
41R2A1H12BOOX,0.0017291832124006197,-0.00010746410876648159,-0.0011161618528664598,-0.00014197478508593718,-0.0003816603085415911,-1.4938319560157348e-05,0.001491892272354436,0.00020847772463986885
42A12BOOX,0.0020905142646860234,-0.00010748003904189096,-0.0011185796915002158,-0.00014197478508593718,-0.0003817360488202345,-1.4955980459610913e-05,0.0018258730366486776,0.00020599508993479826
4ABUTtm,0.00035577203171826204,-5.2776801893474675e-05,0.0005519157252675936,-0.00014197478508593718,-0.0002493553147382174,6.0923976008696856e-05,0.0003224027201197919,8.141860824959044e-05
4HBZCOAFm,0.0001275407081911737,-4.620551078803035e-05,0.001089677414786701,-0.00014197478508593718,-0.00022031372357878936,-5.176153886972931e-06,0.000222574077360871,0.00025280011825818397
4HBZFm,0.00012934065163999525,-4.6351153119909205e-05,0.0010894363786387792,-0.00014197478508593718,-0.00022066192846507984,-5.1592552792897056e-06,0.00022724747789404275,0.0002478156420811923
4HDEBRISOQUINEte,0.0001949983163371389,-6.36053252273947e-05,0.00018273309879024598,-0.00014197478508593718,-0.00027326875122217004,0.00016586475315409863,0.0001949983163371389,0.0001950469351228042
4HGLSDm,0.000558233172627376,-4.8576410057749506e-05,0.0010841563321382283,-0.00014197478508593718,-0.0002251525592627602,-4.949021227193441e-06,0.00028912877354901915,0.00021493260980739526
4HOXPACDOX_NADP,-0.00038134289551403604,-9.670534804463421e-05,-0.00011270621414878543,-0.00014197478508593718,-0.0003354831693670805,-9.278352128430427e-06,-0.0002924168797753827,0.00027255961181099425
4MOPt2im,0.0004238945554761081,-1.0485894567626237e-06,0.0006358397577501345,-0.00014197478508593718,-0.00016766035993318385,-6.2379496350298365e-06,0.00048426348986490897,0.00030604183202438597
4MPTNLte,0.0001949983163371389,-2.6866737756212915e-05,0.0017905410035098741,-0.00014197478508593718,-0.00021741320912837685,0.0001768208535143941,0.0001949983163371389,0.00030316913262460704
4MPTNLtm,0.00019494557498181712,-3.427324333402472e-05,0.0014248037011831969,-0.00014197478508593718,-0.00022151467932268938,0.00016638167983674707,0.00019494557498181712,0.00017353517791266734
4MPTNLtr,,-2.6871636123778805e-05,0.0017905404769019584,-0.00014197478508593718,-0.00021747875694446366,0.00017681216285283233,,0.00015169031866824246
4MTOLBUTAMIDEte,0.0001949983163371389,-6.36053252273947e-05,0.00018273309878960535,-0.00014197478508593718,-0.00027326875122217004,0.00016586475315409863,0.0001949983163371389,0.0001950469351228042
4NPHSFte,0.0001949983163371389,-5.8792177859010415e-06,0.0009310860766092637,-0.00014197478508593718,-0.00019011274954327222,0.00016628232461147785,0.0001949983163371389,0.0001950716120602753
4NPHSULT,0.0002773677070793031,-8.723940191926648e-06,0.0006139593345649062,-0.00014197478508593718,-0.00017828438139973448,-5.998223011974162e-06,0.0002662306763088624,0.000289809560539649
4NPHte,0.0003354362464824159,-6.179777692246802e-05,0.0005260057303524868,-0.00014197478508593718,-0.0002696290266175759,0.00012091413417982411,0.0002673468674903822,0.00013127070603798115
4PYRDX,-0.00022648156361178702,-9.569044904297769e-05,-0.00010036523712694023,-0.00014197478508593718,-0.0003311706008981384,-9.000345095654701e-06,-0.00019187174426260555,0.00038772937692696974
5ADTSTSTERONEGLCte,-7.78779823607668e-05,-9.567677545276732e-05,-0.00010036491519013298,-0.00014197478508593718,-0.00033111992851830223,-8.998442976104561e-06,-4.721131170769791e-05,0.000452638309671641
5ADTSTSTERONEGLCtr,-0.0004435287641476039,-6.290757815840193e-05,0.00021393447568295084,-0.00014197478508593718,-0.00027156271829976704,0.00014490193243774964,-0.0003411875043525695,6.81468017838153e-05
