,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
T4HCINNMFM_Neuron,0.0012765782,0.00015460412,-0.0008501027,-0.0010080844,0.00010800106,-0.0009940581,-0.0002548148,0.001252178,-0.0002548148,-0.0004010333,-0.04968751,0.00016268641
TALA_Neuron,0.001442557,0.002658293,-0.0008501027,-0.0013154929,0.0002216686,-0.0013702343,0.00015855928,0.0011614471,0.00015855928,-0.00196693,0.153623,0.00086653227
TCYNTt_Neuron,0.0014832756,3.164446e-05,-0.0013679103,-0.0021514725,0.00045310313,-0.0034241932,0.003169424,0.0010416667,0.003169424,-0.0026632003,-0.32723844,0.00035492852
TCYNTtm_Neuron,0.0015049229,0.00080362306,0.00018607323,0.0010992382,6.844747e-05,0.0011473559,0.0012794993,0.0011208913,0.0012794993,0.0016485433,-0.1681653,0.0010150285
THD1m_Neuron,0.001042526,1.7198263e-07,-0.0013679103,0.000116771495,-0.00017268091,0.00029216893,-0.0010131615,0.0013362021,-0.0010131615,0.00024574227,-0.3906075,0.00028546294
THFtm_Neuron,0.0010751787,0.0,-0.0013679103,-0.00020604992,-1.0147012e-05,0.0006975649,-0.0007037526,0.0012865444,-0.0007037526,-0.00038322824,-0.16327138,0.00013843938
THYMDt1_Neuron,0.0036673364,0.029250825,3.921151e-05,-0.0031090963,-0.0008923499,-0.0030800551,-0.012532044,0.0037385263,-0.012532044,-0.0028645473,-0.49373528,0.020053834
TKT1_Neuron,0.0019058562,5.8473984e-06,-0.0027374635,-0.0019596107,-0.000983646,-0.0019314536,-0.013435653,0.0027743345,-0.013435653,-0.0007506415,-0.2005494,0.0005132769
TKT2_Neuron,0.03913024,0.029334245,0.00022510772,0.014599781,0.03550558,0.015135121,0.008461621,0.12789658,0.008461621,0.009106401,0.045677517,0.020672094
TMDK1m_Neuron,0.0011690082,6.5353256e-06,-0.0008501027,-0.019452637,-0.00028061698,-0.01991875,0.008261735,-0.029286455,0.008261735,-0.0021372628,0.18121384,-6.69028e-05
TPI_Neuron,0.03550508,0.00011058061,0.00018590127,0.017697064,0.03645972,0.018203067,0.02103316,0.12418286,0.02103316,0.01195438,-0.005647858,0.00061281596
TRDRm_Neuron,0.0013492607,0.00039894457,0.00018590127,0.0116534745,-0.00022092863,0.010850412,-0.00030753776,0.00087718875,-0.00030753776,0.0031270368,-0.42711395,0.00061230024
TYRTAm_Neuron,0.0018192887,0.030124899,0.0027793124,-0.004381024,0.00013757955,-0.0041749803,6.088057e-05,0.000999217,6.088057e-05,-0.0031188345,-0.3593484,0.019456858
UPP3S_Neuron,0.001119001,2.5625188e-05,-0.0013679103,-0.0011113499,-0.00027726268,-0.00111746,-0.0007989946,0.0013463397,-0.0007989946,0.00042129596,-0.058986254,0.00029251282
UPPDC1_Neuron,0.0015588681,0.0022776593,0.0012227942,0.0005593511,4.2135132e-05,0.00061195646,-0.00015513669,0.0010925359,-0.00015513669,0.0015645374,-0.23939212,0.0016724215
URIt_Neuron,0.0015588681,0.0021493852,0.0012227942,0.00060336094,4.2135132e-05,0.00065579277,-0.00015763071,0.0010930515,-0.00015763071,0.0017004218,-0.30116087,0.0016349722
VALTA_Neuron,0.0015588681,0.0021493852,0.0012227942,0.00060336094,4.2135132e-05,0.00065579277,-0.00015763071,0.0010930515,-0.00015763071,0.0017004218,-0.12648275,0.0016349722
VALTAm_Neuron,0.002261003,0.03103682,0.002779484,-0.010849546,0.0008703136,-0.01073146,0.00011969496,0.0007702766,0.00011969496,-0.0035808193,-0.6241032,0.01910592
VALt5m_Neuron,0.0012566457,5.2969684e-05,-0.0013679103,-0.0012615281,0.00011763134,-0.0009193681,-0.0002997109,0.0013447932,-0.0002997109,-0.00093907287,0.0649256,0.00010043437
VALtec_Neuron,0.0025511694,5.331452e-06,-0.004107973,-0.0027247127,-0.0020756891,-0.0027845048,-0.02680189,0.0042717378,-0.02680189,-0.0012993119,-0.16696043,0.00074741495
VITD2Hm_Neuron,0.0014710772,0.0,-0.0027374635,-0.0018160754,-0.0017716488,-0.0018560262,-0.02219455,0.0029070156,-0.02219455,-0.0008672251,-0.15730582,0.00048353415
VITD2tm_Neuron,0.0014365435,0.0026098823,-0.0008501027,-0.0012848524,0.00021530621,-0.0013432937,-0.00013836668,0.0011705549,-0.00013836668,-0.0017248988,-0.11994561,0.00086223526
VITD3Hm_Neuron,0.0024502187,0.0026103973,-0.002219767,-0.00257085,4.093129e-05,-0.0026877532,-0.004707528,0.0025362333,-0.004707528,-0.0025513815,-0.12980528,0.0009665626
VITD3tm_Neuron,0.0010124504,6.879304e-07,-0.0013679103,-0.0012848524,-0.00017388494,-0.0013432937,-0.0045684637,0.0013645528,-0.0045684637,-0.00082799006,-0.2923244,0.0001049056
VITD3tm3_Neuron,0.0012765782,0.00015460412,-0.0008501027,-0.0010590277,0.00010800106,-0.0011232259,0.00011711543,0.001208188,0.00011711543,-0.00039182967,-0.3181122,0.0001678453
MTDNAploym_Neuron,0.0013025244,2.5797374e-06,-0.0008501027,0.014193164,0.00014514606,0.013918105,-0.0008956196,0.0005746515,-0.0008956196,0.0059743286,-0.22458734,0.00023026639
MTDNAdpolym_Neuron,0.0010703668,0.0,-0.0013679103,-0.0016657533,0.00035028614,-0.0012458642,0.0027245546,0.0013496043,0.0027245546,-0.0014407298,-0.21464263,0.00019398339
DAKm_Neuron,0.0014353408,1.7198255e-06,-0.0013679103,-0.0009889811,0.0011037063,-0.00051621225,0.009888743,0.0011329207,0.009888743,-0.001116169,-0.2661808,0.0007046128
DTKm_Neuron,0.0021167567,0.006962058,-0.00033213673,-0.014248205,0.0009849523,-0.011879808,0.0021433746,-0.0019452306,0.0021433746,-0.003930423,0.10318678,0.00092823565
DCKm_Neuron,0.001088927,5.675416e-06,-0.0013679103,-0.0009797738,-0.0002960985,-0.00096480123,-0.0045319744,0.0013621473,-0.0045319744,-0.0003736807,0.06283422,0.0002632814
DGKm_Neuron,0.0008163426,0.0,-0.0013679103,-0.0009797738,-0.0006855137,-0.00096480123,-0.008874456,0.0014116307,-0.008874456,-0.0003736807,-0.43890822,0.00024918135
NH3tm_Neuron,0.0014365435,0.0026143459,-0.0008501027,-0.0012839057,0.00021530621,-0.0013414862,-8.81438e-05,0.0011691801,-8.81438e-05,-0.001739621,-0.42035916,0.000861204
NDPK1_Neuron,0.0018392134,0.031444605,0.0032986368,-0.0040175137,0.00011212833,-0.0041345344,3.3536227e-05,0.0008565632,3.3536227e-05,-0.005606248,-0.49952826,0.02173012
NACASPtm_Neuron,0.0008163426,0.0,-0.0013679103,-0.0009797738,-0.0006855137,-0.00096480123,-0.008874456,0.0014116307,-0.008874456,-0.0003736807,-0.4367368,0.00024918135
NACASPt_Neuron,0.001088927,1.9605888e-05,-0.0013679103,-0.0009797738,-0.0002960985,-0.00096480123,-0.0023531788,0.001352869,-0.0023531788,-0.00037290656,-0.26239657,0.00026534483
GGNG_Neuron,0.001088927,1.9605888e-05,-0.0013679103,-0.0009797738,-0.0002960985,-0.00096480123,-0.0023531788,0.001352869,-0.0023531788,-0.00037290656,-0.05720337,0.00026534483
GLGNS1_Neuron,0.0009064077,1.7198263e-07,-0.0008501027,0.017697064,-0.0006623712,0.018203067,-0.0033697188,-0.0025260556,-0.0033697188,0.0072418693,-0.030612249,0.0005884046
GLBRAN_Neuron,0.0008163426,0.0,-0.0013679103,-0.0009797738,-0.0006855137,-0.0009655757,-0.00887437,0.001411287,-0.00887437,-0.00037591704,-0.1140889,0.00024918135
GLDBRAN_Neuron,0.0014037272,5.2797706e-05,-0.0013679103,-0.0021178862,0.00053339155,-0.0017360911,0.0039808885,0.0013300165,0.0039808885,-0.0032628442,-0.21448438,2.390539e-05
SERtm_Neuron,0.0010925359,6.879304e-07,-0.0013679103,0.00025537162,-0.00013905467,0.00032930917,-0.0024163148,0.0013538998,-0.0024163148,0.0002782411,-0.09456204,0.0002856349
UREAt_Neuron,0.0010925359,6.879304e-07,-0.0013679103,0.00025537162,-0.00013905467,0.00032930917,-0.0024163148,0.0013538998,-0.0024163148,0.0002782411,-0.11572419,0.0002856349
UREAtm_Neuron,0.0016463101,9.3727496e-05,-0.0013679103,-0.0004217631,0.0007658074,-0.00056782644,0.0055119917,0.00097034365,0.0055119917,-0.0017980807,-0.12891154,0.00045808905
GLNtN1_Neuron,0.0014588789,0.0014011499,0.00018607323,-9.811944e-05,3.21604e-05,-9.545069e-06,-7.808224e-05,0.001145981,-7.808224e-05,0.00065132324,-0.20063557,0.0010530093
DM_4mptnl(m)_Neuron,0.0010693357,0.0,-0.0013679103,-0.0012468109,-1.5564514e-05,-0.0012583437,-0.0019490194,0.001322628,-0.0019490194,-0.0009950907,0.056103002,9.321159e-05
DM_prgnlone(c)_Neuron,0.0010124504,6.879304e-07,-0.0013679103,-0.0013459619,-0.00017388494,-0.001363951,-0.0045538847,0.0013647246,-0.0045538847,-0.0008059638,-0.8296808,0.00010920485
