X1,index,fluxes,reduced_costs,Reaction,Node
0.6514332359957047,2OXOADPTm,0,0,2oxoadp[cA] + akg[mA] <=> 2oxoadp[mA] + akg[cA],Astrocyte
0.6529501577437704,34HPLFM,0,0,34hpp[mA] + h[mA] + nadh[mA] --> 34hpl[mA] + nad[mA],Astrocyte
0.6544512022035538,3AIBTm,0,0,2mop[mA] + glu-L[mA] <=> 3aib[mA] + akg[mA],Astrocyte
0.6559366982327625,3AIBt,0,0,3aib[cA] --> 3aib[e],Astrocyte
0.6574069645786923,3AIBtm,0,0.04751184240649411,3aib[mA] --> 3aib[cA],Astrocyte
0.6588623102883902,3DPHBH1,0,0,3dphb[mA] + h[mA] + nadh[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nad[mA],Astrocyte
0.6603030350982274,3DPHBH2,0,0.03202971368232128,3dphb[mA] + h[mA] + nadph[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6617294298041153,3HBCDm,0,0,b2coa[mA] + h2o[mA] <=> 3hbcoa-R[mA],Astrocyte
0.6631417766135036,3HBCOAHLm,0,0,3hibutcoa[mA] + h2o[mA] --> 3hmp[mA] + coa[mA] + h[mA],Astrocyte
0.664540349480229,3SALAASPm,0,0,3sala[mA] + asp-L[cA] <=> 3sala[cA] + asp-L[mA],Astrocyte
0.6659254144232041,3SALATAim,0,0,3sala[mA] + akg[mA] + h[mA] --> 3snpyr[mA] + glu-L[mA],Astrocyte
0.6672972298298735,3SPYRSPm,0,0,3snpyr[mA] + h2o[mA] --> h[mA] + pyr[mA] + so3[mA],Astrocyte
0.6686560467453064,4ABUTtm,0,0,4abut[cA] <=> 4abut[mA],Astrocyte
0.6700021091477275,4HBZCOAFm,0,0,coa[mA] + coucoa[mA] + h2o[mA] + nad[mA] --> 4hbzcoa[mA] + accoa[mA] + h[mA] + nadh[mA],Astrocyte
0.6713356542112486,4HBZFm,0,0,4hbzcoa[mA] + h2o[mA] --> 4hbz[mA] + coa[mA] + h[mA],Astrocyte
0.6726569125565011,4HGLSDm,0,0,4hglusa[mA] + h2o[mA] + nad[mA] <=> e4hglu[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
0.6739661084898404,5AOPtm,0,0,5aop[cA] <=> 5aop[mA],Astrocyte
0.6752634602317319,5HOXINDACTOXm,0,0,5hoxindact[mA] + h2o[mA] + nad[mA] --> 5hoxindoa[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
0.6765491801349088,5THFtm,0,0,5thf[mA] --> 5thf[cA],Astrocyte
0.6778234748928416,6DHFtm,0,0,6dhf[mA] --> 6dhf[cA],Astrocyte
0.6790865457390312,6THFtm,0,0,6thf[mA] --> 6thf[cA],Astrocyte
0.68033858863761,7DHFtm,0,0,7dhf[mA] --> 7dhf[cA],Astrocyte
0.6815797944656964,7THFtm,0,0,7thf[mA] --> 7thf[cA],Astrocyte
0.6828103491879307,AACOAT,0,0,acac[cA] + atp[cA] + coa[cA] <=> aacoa[cA] + amp[cA] + ppi[cA],Astrocyte
0.6840304340235908,AACTOOR,0,0,aact[cA] + h2o[cA] + o2[cA] --> h2o2[cA] + mthgxl[cA] + nh4[cA],Astrocyte
0.6852402256066613,AACTtm,0,0.23017356367387587,aact[mA] --> aact[cA],Astrocyte
