ID,Module
GLYCLTDym,Central
GLYCt,Central
GLYCtm,Central
GLYKm,Central
GLYt2r,Central
GLYtm,Central
GTHPm,Central
H2CO3Dm,Central
H2O2t,Central
H2O2tm,Central
H2Otm,Central
HACD1m,Central
HACD9m,Central
HBZOPT10m,Central
HCO3Em,Central
HIBDm,Central
HMBS,Central
HMGCOASim,Central
HPROxm,Central
Ht,Central
ICDHyrm,Central
ILETA,Central
ILETAm,Central
ILEt5m,Central
ILEtec,Central
IMACTD_m,Central
ITCOAL1m,Central
ITCOALm,Central
Kt1r,Central
L-LACt2r,Central
LCADim,Central
LCYSTATm,Central
LDH_Lm,Central
LEUTA,Central
LEUTAm,Central
LEUt5m,Central
LEUtec,Central
LYStiDF,Central
LYStm,Central
MALSO3tm,Central
MALSO4tm,Central
MALTSULtm,Central
MALtm,Central
MCCCrm,Central
MDH,Central
MDHm,Central
MECOALm,Central
MECOAS1m,Central
MGCHrm,Central
MMEm,Central
MMMm,Central
MTHFCm,Central
MTHFDm,Central
NABTNOm,Central
NDPK10m,Central
NDPK1m,Central
NDPK2m,Central
NDPK3m,Central
NDPK4m,Central
NDPK5m,Central
NDPK6m,Central
NDPK7m,Central
NDPK8m,Central
NDPK9m,Central
NH4t3r,Central
NMNATm,Central
NNATm,Central
NTD1m,Central
NTD2m,Central
NaKt,Central
O2St,Central
O2Stm,Central
O2tm,Central
OCOAT1m,Central
OIVD1m,Central
OIVD2m,Central
OIVD3m,Central
ORNTArm,Central
ORNt3m,Central
ORNt4m,Central
ORNtiDF,Central
P5CDm,Central
PCFLOPm,Central
PDHm,Central
PEFLIP,Central
PEFLIPm,Central
PETOHMm_hs,Central
PGCD,Central
PGL,Central
PHCDm,Central
PHCHGSm,Central
PHEMEtm,Central
PHETA1m,Central
PIt2m,Central
PIt7,Central
PNTKm,Central
PPA2m,Central
PPAt,Central
PPAtm,Central
PPBNGS,Central
PPCOACm,Central
PPCOAOm,Central
PPPG9tm,Central
PPPGOm,Central
PRGNLONEtm,Central
PROt2r,Central
PROtm,Central
PRPNCOAHYDm,Central
PSERT,Central
PSP_L,Central
PYLALDOXm,Central
PYRt2m,Central
PYRt2r,Central
RPE,Central
RPI,Central
SACCD3m,Central
SACCD4m,Central
SARCStex,Central
SARCStm,Central
SARDHm,Central
SERGLYexR,Central
SLDxm,Central
SO4HCOtex,Central
SUCCt2m,Central
SUCD1m,Central
SUCOAS1m,Central
SUCOASm,Central
SULFOX,Central
T2M26DCOAHLm,Central
T4HCINNMFM,Central
TALA,Central
TCYNTt,Central
TCYNTtm,Central
THD1m,Central
THFtm,Central
TKT1,Central
TKT2,Central
TMDK1m,Central
TRDRm,Central
TYRTAm,Central
UPP3S,Central
UPPDC1,Central
VALTA,Central
VALTAm,Central
VALt5m,Central
VALtec,Central
VITD2Hm,Central
VITD2tm,Central
VITD3Hm,Central
VITD3tm,Central
VITD3tm3,Central
MTDNAploym,Central
MTDNAdpolym,Central
DAKm,Central
DTKm,Central
DCKm,Central
DGKm,Central
NH3tm,Central
NDPK1,Central
GGNG,Central
GLBRAN,Central
GLPASE1,Central
GLDBRAN,Central
GLPASE2,Central
SERtm,Central
UREAt,Central
UREAtm,Central
CKc,Central
CREATtmdiffir,Central
ALATA_L,Central
ALATA_Lm,Central
ALAtN1,Central
25HVITD2t_Int,Central
25HVITD2tin_Int,Central
25HVITD3t_Int,Central
25HVITD3tin_Int,Central
3AIBt_Int,Central
ABUTt2r_Int,Central
ACACt2_Int,Central
ACALDt_Int,Central
ACt2r_Int,Central
ARGLYSex_Int,Central
ARGtiDF_Int,Central
BALAVECSEC_Int,Central
BHBt_Int,Central
CRNt_Int,Central
CYANt_Int,Central
CYSGLYex_Int,Central
CYStec_Int,Central
D-LACt2_Int,Central
DGSNt_Int,Central
ETOHt_Int,Central
FE2t_Int,Central
GLYCt_Int,Central
GLYt2r_Int,Central
H2O2t_Int,Central
H2Ot_Int,Central
Ht_Int,Central
ILEtec_Int,Central
LEUtec_Int,Central
LYStiDF_Int,Central
O2St_Int,Central
PIt7_Int,Central
PPAt_Int,Central
PROt2r_Int,Central
SARCStex_Int,Central
SERGLYexR_Int,Central
SO4HCOtex_Int,Central
TCYNTt_Int,Central
VALtec_Int,Central
UREAt_Int,Central
ALAtN1_Int,Central
10FTHF5GLUtm_Neuron,Central
10FTHF6GLUtm_Neuron,Central
10FTHF7GLUtm_Neuron,Central
10FTHFtm_Neuron,Central
"1a,24,25VITD2Hm_Neuron",Central
"1a,24,25VITD3Hm_Neuron",Central
"1a,25VITD2Hm_Neuron",Central
"1a,25VITD3Hm_Neuron",Central
"24,25VITD2Hm_Neuron",Central
"24,25VITD3Hm_Neuron",Central
25HVITD2t_Neuron,Central
25HVITD2tin_Neuron,Central
25HVITD2tin_m_Neuron,Central
25HVITD2tm_Neuron,Central
25HVITD3t_Neuron,Central
25HVITD3tin_Neuron,Central
25HVITD3tin_m_Neuron,Central
25HVITD3tm_Neuron,Central
25VITD2Hm_Neuron,Central
25VITD3Hm_Neuron,Central
2AMADPTm_Neuron,Central
2OXOADOXm_Neuron,Central
2OXOADPTm_Neuron,Central
34HPLFM_Neuron,Central
3AIBTm_Neuron,Central
3AIBt_Neuron,Central
3AIBtm_Neuron,Central
3DPHBH1_Neuron,Central
3HBCOAHLm_Neuron,Central
3SALAASPm_Neuron,Central
3SALATAim_Neuron,Central
3SPYRSPm_Neuron,Central
4ABUTtm_Neuron,Central
4HBZCOAFm_Neuron,Central
4HBZFm_Neuron,Central
5AOPtm_Neuron,Central
5HOXINDACTOXm_Neuron,Central
5THFtm_Neuron,Central
6DHFtm_Neuron,Central
6THFtm_Neuron,Central
7DHFtm_Neuron,Central
7THFtm_Neuron,Central
AACTOOR_Neuron,Central
AACTtm_Neuron,Central
AASAD3m_Neuron,Central
AATAi_Neuron,Central
ABTArm_Neuron,Central
ABUTt2r_Neuron,Central
ACACT10m_Neuron,Central
ACACT1r_Neuron,Central
ACACT1rm_Neuron,Central
ACACt2m_Neuron,Central
ACALDt_Neuron,Central
ACALDtm_Neuron,Central
ACCOALm_Neuron,Central
ACOAD10m_Neuron,Central
ACOAD9m_Neuron,Central
ACRNtm_Neuron,Central
ACt2m_Neuron,Central
ADCim_Neuron,Central
ADK1m_Neuron,Central
ADK3m_Neuron,Central
AGMTm_Neuron,Central
AGPRim_Neuron,Central
AGTim_Neuron,Central
ALASm_Neuron,Central
ALDD20xm_Neuron,Central
ALDD2xm_Neuron,Central
